    rows   dim dtype           impl         ms      GB/s
    1024    64   f16         memcpy     0.0081      32.4
    1024    64   f16         cublas     0.0244      10.7
    1024    64   f16        ref_fht     0.0286       9.2
    1024    64   f16 rotate+quant_fp8     0.1159       2.3
    1024    64   f16 rotate+quant_int4     0.1787       1.5
    1024    64  bf16         memcpy     0.0078      33.8
    1024    64  bf16         cublas     0.0261      10.1
    1024    64  bf16        ref_fht     0.0154      17.0
    1024    64  bf16 rotate+quant_fp8     0.1665       1.6
    1024    64  bf16 rotate+quant_int4     0.1800       1.5
    4096    64   f16         memcpy     0.0109      96.2
    4096    64   f16         cublas     0.0422      24.8
    4096    64   f16        ref_fht     0.0268      39.1
    4096    64   f16 rotate+quant_fp8     0.1577       6.6
    4096    64   f16 rotate+quant_int4     0.1741       6.0
    4096    64  bf16         memcpy     0.0117      89.5
    4096    64  bf16         cublas     0.0423      24.8
    4096    64  bf16        ref_fht     0.0291      36.0
    4096    64  bf16 rotate+quant_fp8     0.1140       9.2
    4096    64  bf16 rotate+quant_int4     0.1208       8.7
   16384    64   f16         memcpy     0.0067     626.5
   16384    64   f16         cublas     0.0236     177.4
   16384    64   f16        ref_fht     0.0190     221.0
   16384    64   f16 rotate+quant_fp8     0.1022      41.0
   16384    64   f16 rotate+quant_int4     0.1089      38.5
   16384    64  bf16         memcpy     0.0080     525.2
   16384    64  bf16         cublas     0.0239     175.8
   16384    64  bf16        ref_fht     0.0190     220.9
   16384    64  bf16 rotate+quant_fp8     0.1042      40.3
   16384    64  bf16 rotate+quant_int4     0.1133      37.0
   65536    64   f16         memcpy     0.0107    1570.8
   65536    64   f16         cublas     0.0318     526.8
   65536    64   f16        ref_fht     0.0680     246.8
   65536    64   f16 rotate+quant_fp8     0.1658     101.2
   65536    64   f16 rotate+quant_int4     0.1928      87.0
   65536    64  bf16         memcpy     0.0109    1535.3
   65536    64  bf16         cublas     0.0392     428.4
   65536    64  bf16        ref_fht     0.0680     246.7
   65536    64  bf16 rotate+quant_fp8     0.1696      98.9
   65536    64  bf16 rotate+quant_int4     0.2032      82.6
  262144    64   f16         memcpy     0.1734     387.1
  262144    64   f16         cublas     0.1751     383.2
  262144    64   f16        ref_fht     0.2704     248.2
  262144    64   f16 rotate+quant_fp8     1.0134      66.2
  262144    64   f16 rotate+quant_int4     1.2660      53.0
  262144    64  bf16         memcpy     0.1725     389.0
  262144    64  bf16         cublas     0.1786     375.7
  262144    64  bf16        ref_fht     0.2788     240.7
  262144    64  bf16 rotate+quant_fp8     1.0158      66.1
  262144    64  bf16 rotate+quant_int4     1.2660      53.0
    1024   128   f16         memcpy     0.0085      61.9
    1024   128   f16         cublas     0.0357      14.7
    1024   128   f16        ref_fht     0.0156      33.7
    1024   128   f16 rotate+quant_fp8     0.1184       4.4
    1024   128   f16 rotate+quant_int4     0.1216       4.3
    1024   128  bf16         memcpy     0.0085      61.7
