rows,dims,layers,tensors,passes,passes_per_graph,nodes,plain_us,per_step_us,sequence_us,groups_us,speedup_seq_vs_plain,speedup_groups_vs_plain,speedup_groups_vs_sequence,capture_seq_ms,capture_par_ms,runs
512,"128",8,6,20,1,48,6.7448,6.3990,1.1542,0.6021,5.8439,11.2024,1.9170,0.1675,0.3040,8
512,"128",8,6,20,2,96,6.7396,6.4865,1.1562,0.5385,5.8288,12.5145,2.1470,0.3020,0.5210,8
512,"128",8,6,20,5,240,6.5562,6.4656,1.1562,0.5083,5.6703,12.8975,2.2746,0.7150,1.3270,8
512,"128",8,6,20,10,480,6.4510,6.3510,1.1562,0.5000,5.5793,12.9021,2.3125,1.4460,3.0520,8
512,"128",8,6,20,20,960,7.0667,6.9875,1.1573,0.4958,6.1062,14.2521,2.3340,3.7600,5.6630,8
512,"64,128,256",8,6,20,1,48,6.5833,6.3948,1.1542,0.6021,5.7040,10.9343,1.9170,0.1750,0.2880,8
512,"64,128,256",8,6,20,2,96,7.2656,6.0823,1.1938,0.5448,6.0864,13.3365,2.1912,0.3220,0.5180,8
512,"64,128,256",8,6,20,5,240,7.3844,6.7708,1.1562,0.5250,6.3865,14.0655,2.2024,0.7595,1.3365,8
512,"64,128,256",8,6,20,10,480,6.4792,6.4500,1.1562,0.5125,5.6036,12.6423,2.2561,1.5555,2.8700,8
512,"64,128,256",8,6,20,20,960,6.4552,6.8979,1.1552,0.5083,5.5879,12.6988,2.2725,3.6325,5.3585,8
512,"64,128,256",8,1,20,1,8,10.9625,10.0813,1.4563,1.4625,7.5279,7.4957,0.9957,0.0670,0.0270,8
512,"64,128,256",8,1,20,2,16,6.5313,6.1000,1.1625,1.1688,5.6183,5.5882,0.9947,0.0795,0.0520,8
512,"64,128,256",8,1,20,5,40,9.8937,10.2562,1.2000,1.3000,8.2448,7.6106,0.9231,0.2205,0.1620,8
512,"64,128,256",8,1,20,10,80,6.1062,6.3312,1.1625,1.1625,5.2527,5.2527,1.0000,0.3125,0.2815,8
512,"64,128,256",8,1,20,20,160,6.2625,6.1688,1.1625,1.1625,5.3871,5.3871,1.0000,0.5400,0.4825,8
4096,"128",8,6,20,1,48,8.9240,7.6271,5.1656,5.3812,1.7276,1.6583,0.9599,0.1750,0.2985,8
4096,"128",8,6,20,2,96,7.4760,7.1687,5.1813,5.4000,1.4429,1.3845,0.9595,0.2920,0.5015,8
4096,"128",8,6,20,5,240,7.9427,8.0354,5.1604,5.3854,1.5392,1.4749,0.9582,0.6855,1.2590,8
4096,"128",8,6,20,10,480,7.6135,7.3656,5.1781,5.3823,1.4703,1.4146,0.9621,1.4090,2.5835,8
4096,"128",8,6,20,20,960,7.5719,7.4417,5.1615,5.4073,1.4670,1.4003,0.9545,3.0785,5.2550,8
16384,"256",8,3,20,1,24,44.6250,44.4667,44.6292,44.6250,0.9999,1.0000,1.0001,0.2280,0.1315,8
16384,"256",8,3,20,2,48,44.7396,44.6229,44.4729,44.8542,1.0060,0.9974,0.9915,0.2385,0.2895,8
16384,"256",8,3,20,5,120,44.4375,44.7375,44.8521,44.7333,0.9908,0.9934,1.0027,0.4130,0.5850,8
16384,"256",8,3,20,10,240,44.8063,44.5979,44.7646,44.9854,1.0009,0.9960,0.9951,0.7410,1.1180,8
16384,"256",8,3,20,20,480,44.4875,44.3875,44.6271,44.9542,0.9969,0.9896,0.9927,1.4330,2.2810,8
