rows=512    128         tensors=6   K=1   | nodes   48 | A    6.745 C   1.154 ( 1.00x vs K=1) D   0.602 ( 1.00x vs K=1) us | D vs C  1.92x | capture C   0.168 D   0.304 ms
rows=512    128         tensors=6   K=2   | nodes   96 | A    6.740 C   1.156 ( 1.00x vs K=1) D   0.539 ( 1.12x vs K=1) us | D vs C  2.15x | capture C   0.302 D   0.521 ms
rows=512    128         tensors=6   K=5   | nodes  240 | A    6.556 C   1.156 ( 1.00x vs K=1) D   0.508 ( 1.18x vs K=1) us | D vs C  2.27x | capture C   0.715 D   1.327 ms
rows=512    128         tensors=6   K=10  | nodes  480 | A    6.451 C   1.156 ( 1.00x vs K=1) D   0.500 ( 1.20x vs K=1) us | D vs C  2.31x | capture C   1.446 D   3.052 ms
rows=512    128         tensors=6   K=20  | nodes  960 | A    7.067 C   1.157 ( 1.00x vs K=1) D   0.496 ( 1.21x vs K=1) us | D vs C  2.33x | capture C   3.760 D   5.663 ms
rows=512    64,128,256  tensors=6   K=1   | nodes   48 | A    6.583 C   1.154 ( 1.00x vs K=1) D   0.602 ( 1.00x vs K=1) us | D vs C  1.92x | capture C   0.175 D   0.288 ms
rows=512    64,128,256  tensors=6   K=2   | nodes   96 | A    7.266 C   1.194 ( 0.97x vs K=1) D   0.545 ( 1.11x vs K=1) us | D vs C  2.19x | capture C   0.322 D   0.518 ms
rows=512    64,128,256  tensors=6   K=5   | nodes  240 | A    7.384 C   1.156 ( 1.00x vs K=1) D   0.525 ( 1.15x vs K=1) us | D vs C  2.20x | capture C   0.760 D   1.337 ms
rows=512    64,128,256  tensors=6   K=10  | nodes  480 | A    6.479 C   1.156 ( 1.00x vs K=1) D   0.513 ( 1.17x vs K=1) us | D vs C  2.26x | capture C   1.555 D   2.870 ms
rows=512    64,128,256  tensors=6   K=20  | nodes  960 | A    6.455 C   1.155 ( 1.00x vs K=1) D   0.508 ( 1.18x vs K=1) us | D vs C  2.27x | capture C   3.633 D   5.358 ms
rows=512    64,128,256  tensors=1   K=1   | nodes    8 | A   10.963 C   1.456 ( 1.00x vs K=1) D   1.463 ( 1.00x vs K=1) us | D vs C  1.00x | capture C   0.067 D   0.027 ms
rows=512    64,128,256  tensors=1   K=2   | nodes   16 | A    6.531 C   1.162 ( 1.25x vs K=1) D   1.169 ( 1.25x vs K=1) us | D vs C  0.99x | capture C   0.080 D   0.052 ms
rows=512    64,128,256  tensors=1   K=5   | nodes   40 | A    9.894 C   1.200 ( 1.21x vs K=1) D   1.300 ( 1.12x vs K=1) us | D vs C  0.92x | capture C   0.221 D   0.162 ms
rows=512    64,128,256  tensors=1   K=10  | nodes   80 | A    6.106 C   1.162 ( 1.25x vs K=1) D   1.162 ( 1.26x vs K=1) us | D vs C  1.00x | capture C   0.312 D   0.281 ms
rows=512    64,128,256  tensors=1   K=20  | nodes  160 | A    6.263 C   1.162 ( 1.25x vs K=1) D   1.162 ( 1.26x vs K=1) us | D vs C  1.00x | capture C   0.540 D   0.482 ms
rows=4096   128         tensors=6   K=1   | nodes   48 | A    8.924 C   5.166 ( 1.00x vs K=1) D   5.381 ( 1.00x vs K=1) us | D vs C  0.96x | capture C   0.175 D   0.298 ms
rows=4096   128         tensors=6   K=2   | nodes   96 | A    7.476 C   5.181 ( 1.00x vs K=1) D   5.400 ( 1.00x vs K=1) us | D vs C  0.96x | capture C   0.292 D   0.502 ms
rows=4096   128         tensors=6   K=5   | nodes  240 | A    7.943 C   5.160 ( 1.00x vs K=1) D   5.385 ( 1.00x vs K=1) us | D vs C  0.96x | capture C   0.685 D   1.259 ms
rows=4096   128         tensors=6   K=10  | nodes  480 | A    7.614 C   5.178 ( 1.00x vs K=1) D   5.382 ( 1.00x vs K=1) us | D vs C  0.96x | capture C   1.409 D   2.583 ms
rows=4096   128         tensors=6   K=20  | nodes  960 | A    7.572 C   5.161 ( 1.00x vs K=1) D   5.407 ( 1.00x vs K=1) us | D vs C  0.95x | capture C   3.079 D   5.255 ms
rows=16384  256         tensors=3   K=1   | nodes   24 | A   44.625 C  44.629 ( 1.00x vs K=1) D  44.625 ( 1.00x vs K=1) us | D vs C  1.00x | capture C   0.228 D   0.132 ms
rows=16384  256         tensors=3   K=2   | nodes   48 | A   44.740 C  44.473 ( 1.00x vs K=1) D  44.854 ( 0.99x vs K=1) us | D vs C  0.99x | capture C   0.238 D   0.289 ms
rows=16384  256         tensors=3   K=5   | nodes  120 | A   44.438 C  44.852 ( 1.00x vs K=1) D  44.733 ( 1.00x vs K=1) us | D vs C  1.00x | capture C   0.413 D   0.585 ms
rows=16384  256         tensors=3   K=10  | nodes  240 | A   44.806 C  44.765 ( 1.00x vs K=1) D  44.985 ( 0.99x vs K=1) us | D vs C  1.00x | capture C   0.741 D   1.118 ms
rows=16384  256         tensors=3   K=20  | nodes  480 | A   44.487 C  44.627 ( 1.00x vs K=1) D  44.954 ( 0.99x vs K=1) us | D vs C  0.99x | capture C   1.433 D   2.281 ms
