m,n,k,dtype,unfused_ms,fused_ms,speedup,gflops_unfused,gflops_fused,unfused_gbs,fused_gbs,saved_mib,saved_pct,bitwise,speedup_min,speedup_max,runs
8192,64,256,f16,0.0803,0.0721,1.1137,3341.9,3722.9,170.1,73.2,8.00,61.40,1,1.0126,1.1165,5
8192,128,256,f16,0.0821,0.0742,1.1065,6538.8,7233.9,179.6,85.7,8.00,56.90,1,0.9880,1.1119,5
8192,256,256,f16,0.1619,0.167,0.9695,6631.3,6430.1,104.4,51.0,8.00,49.60,1,0.8361,1.2138,5
8192,512,256,f16,0.2791,0.3065,0.9106,7693.7,7007.4,76.1,41.9,8.00,39.50,1,0.7899,1.2140,5
8192,1024,256,f16,0.5677,0.6574,0.8636,7566.1,6533.4,52.6,32.7,8.00,28.10,1,0.8107,1.2905,5
8192,4096,256,f16,2.5543,2.6975,0.9469,6725.9,6368.7,32.0,27.2,8.00,10.30,1,0.8149,1.0300,5
8192,128,128,f16,0.0433,0.0371,1.1671,6195.4,7235.9,194.4,113.9,4.00,49.80,1,1.1644,1.1725,5
8192,128,512,f16,0.1881,0.1472,1.2779,5709.2,7296.2,145.7,72.1,16.00,61.20,1,1.0559,1.3143,5
8192,128,1024,f16,0.4576,0.3672,1.2462,4692.6,5848.4,115.1,52.1,32.00,63.70,1,1.1876,1.4378,5
1024,128,256,f16,0.0437,0.0145,3.0138,1536.1,4634.1,43.5,58.8,1.00,55.20,1,1.2603,3.9310,5
32768,128,256,f16,0.3895,0.2919,1.3344,5513.8,7356.1,150.9,86.4,32.00,57.10,1,1.0282,1.5472,5
65536,128,256,f16,0.7918,0.6249,1.2671,5424.0,6873.2,148.4,80.7,64.00,57.10,1,1.1492,1.5726,5
16384,256,512,f16,0.7034,0.6455,1.0897,6105.8,6654.2,83.9,39.4,32.00,56.90,1,0.8338,1.4522,5
4096,4096,256,f16,1.2612,1.2593,1.0015,6810.8,6821.3,33.3,30.0,4.00,10.00,1,0.9032,1.0806,5
