rows,dims,layers,tensors,passes,quant,dtype,nodes,forks,plain_us,sequence_us,all_roots_us,groups_us,speedup_groups_vs_plain,speedup_groups_vs_sequence,streams,multi_us,speedup_multi_vs_sequence,multi_vs_groups,runs
512,"64,128,256",8,1,20,none,f16,8,0,29.7125,1.3000,44.2500,1.3125,22.6381,0.9905,1,0.0000,0.0000,0.0000,3
512,"64,128,256",8,2,20,none,f16,16,8,31.4938,1.1625,21.8125,1.1562,27.2378,1.0054,2,15.5500,0.0748,0.0744,3
512,"64,128,256",8,3,20,none,f16,24,16,31.3375,1.2042,14.8750,0.8625,36.3333,1.3961,3,11.0208,0.1093,0.0783,3
512,"64,128,256",8,6,20,none,f16,48,40,33.1604,1.1771,9.9625,0.6021,55.0761,1.9550,6,6.9292,0.1699,0.0869,3
512,"64,128,256",8,12,20,none,f16,96,88,33.3438,1.2292,8.4469,0.5500,60.6250,2.2348,12,15.0792,0.0815,0.0365,3
4096,"128",8,1,10,none,f16,8,0,25.0125,2.6375,44.4125,2.6375,9.4834,1.0000,1,0.0000,0.0000,0.0000,3
4096,"128",8,3,10,none,f16,24,16,28.9083,4.9708,18.4042,5.0625,5.7103,0.9819,3,15.5625,0.3194,0.3253,3
4096,"128",8,6,10,none,f16,48,40,24.3604,5.6313,12.5750,6.1354,3.9705,0.9178,6,12.3063,0.4576,0.4986,3
16384,"256",8,1,10,none,f16,8,0,46.4750,48.7750,74.2125,49.3125,0.9425,0.9891,1,0.0000,0.0000,0.0000,3
16384,"256",8,3,10,none,f16,24,16,52.3625,52.7625,58.8083,53.4583,0.9795,0.9870,3,53.8083,0.9806,0.9935,3
