rows,dim,dtype,kernel,tpr,rpb,footprint_kib,oop_ms,oop_gbps,ip_ms,ip_gbps,ip_over_oop
8192,128,f16,reg,32,8,2048.0,0.007273,576.6730,0.007074,592.8982,1.0281
16384,128,f16,reg,32,8,4096.0,0.010257,817.8200,0.010249,818.4838,1.0008
32768,128,f16,reg,32,8,8192.0,0.016417,1021.9242,0.016410,1022.3825,1.0004
65536,128,f16,reg,32,8,16384.0,0.028785,1165.7061,0.028728,1168.0044,1.0020
131072,128,f16,reg,32,8,32768.0,0.174090,385.4832,0.081036,828.1380,2.1483
262144,128,f16,reg,32,8,65536.0,0.348326,385.3224,0.347790,385.9159,1.0015
8192,128,bf16,reg,32,8,2048.0,0.006440,651.2571,0.006971,601.7169,0.9239
16384,128,bf16,reg,32,8,4096.0,0.010267,817.0807,0.010267,817.0807,1.0000
32768,128,bf16,reg,32,8,8192.0,0.016408,1022.5022,0.016428,1021.2474,0.9988
65536,128,bf16,reg,32,8,16384.0,0.028728,1167.9914,0.028768,1166.3804,0.9986
131072,128,bf16,reg,32,8,32768.0,0.174019,385.6413,0.080830,830.2462,2.1529
262144,128,bf16,reg,32,8,65536.0,0.350435,383.0037,0.348206,385.4545,1.0064
8192,256,f16,reg,32,8,4096.0,0.009239,907.9838,0.008945,937.7692,1.0328
16384,256,f16,reg,32,8,8192.0,0.012314,1362.4948,0.012431,1349.6229,0.9906
32768,256,f16,reg,32,8,16384.0,0.020547,1633.0924,0.020511,1635.9462,1.0017
65536,256,f16,reg,32,8,32768.0,0.174444,384.7018,0.080993,828.5798,2.1538
131072,256,f16,reg,32,8,65536.0,0.350132,383.3345,0.350844,382.5566,0.9980
262144,256,f16,reg,32,8,131072.0,0.703811,381.4025,0.702625,382.0466,1.0017
8192,256,bf16,reg,32,8,4096.0,0.008400,998.6058,0.008362,1003.1532,1.0046
16384,256,bf16,reg,32,8,8192.0,0.012315,1362.3885,0.012336,1360.0208,0.9983
32768,256,bf16,reg,32,8,16384.0,0.020577,1630.6544,0.020513,1635.7674,1.0031
65536,256,bf16,reg,32,8,32768.0,0.173837,386.0445,0.081852,819.8757,2.1238
131072,256,bf16,reg,32,8,65536.0,0.348582,385.0388,0.350829,382.5729,0.9936
262144,256,bf16,reg,32,8,131072.0,0.703503,381.5695,0.700784,383.0504,1.0039
8192,512,f16,reg,32,8,8192.0,0.012358,1357.5908,0.012354,1358.0480,1.0003
16384,512,f16,reg,32,8,16384.0,0.021089,1591.0658,0.020722,1619.2974,1.0177
32768,512,f16,reg,32,8,32768.0,0.174838,383.8351,0.081485,823.5752,2.1456
65536,512,f16,reg,32,8,65536.0,0.352372,380.8983,0.353852,379.3045,0.9958
131072,512,f16,reg,32,8,131072.0,0.708556,378.8489,0.707430,379.4518,1.0016
262144,512,f16,reg,32,8,262144.0,1.415271,379.3415,1.417819,378.6597,0.9982
8192,512,bf16,reg,32,8,8192.0,0.013239,1267.2532,0.013368,1255.0282,0.9904
16384,512,bf16,reg,32,8,16384.0,0.021189,1583.5450,0.020619,1627.3644,1.0277
32768,512,bf16,reg,32,8,32768.0,0.175534,382.3132,0.080891,829.6221,2.1700
65536,512,bf16,reg,32,8,65536.0,0.352239,381.0416,0.353243,379.9584,0.9972
131072,512,bf16,reg,32,8,131072.0,0.708962,378.6317,0.706068,380.1837,1.0041
262144,512,bf16,reg,32,8,262144.0,1.419503,378.2106,1.415953,379.1588,1.0025
8192,1024,f16,reg,32,8,16384.0,0.028297,1185.7964,0.028216,1189.1988,1.0029
16384,1024,f16,reg,32,8,32768.0,0.176042,381.2095,0.081033,828.1708,2.1725
32768,1024,f16,reg,32,8,65536.0,0.353768,379.3951,0.354855,378.2326,0.9969
65536,1024,f16,reg,32,8,131072.0,0.711772,377.1368,0.711770,377.1381,1.0000
131072,1024,f16,reg,32,8,262144.0,1.426790,376.2787,1.425121,376.7194,1.0012
262144,1024,f16,reg,32,8,524288.0,2.855822,375.9835,2.855437,376.0341,1.0001
8192,1024,bf16,reg,32,8,16384.0,0.028115,1193.4895,0.027857,1204.5122,1.0092
16384,1024,bf16,reg,32,8,32768.0,0.175908,381.5001,0.080664,831.9523,2.1807
32768,1024,bf16,reg,32,8,65536.0,0.353796,379.3646,0.355338,377.7182,0.9957
65536,1024,bf16,reg,32,8,131072.0,0.713227,376.3677,0.711997,377.0174,1.0017
131072,1024,bf16,reg,32,8,262144.0,1.425653,376.5791,1.429448,375.5793,0.9973
262144,1024,bf16,reg,32,8,524288.0,2.855556,376.0185,2.853463,376.2943,1.0007
