rows,dim,dtype,kernel,acc,tpr,rpb,grid,block,ms,gbps,peak_frac
1024,64,f16,reg,native,8,1,1024,8,0.00797824,32.8574,0.0733371
1024,64,f16,reg,native,8,4,256,32,0.00599488,43.728,0.0976001
1024,64,f16,reg,native,8,16,64,128,0.00574912,45.5972,0.101772
1024,64,f16,reg,native,16,1,1024,16,0.00555072,47.227,0.10541
1024,64,f16,reg,native,16,4,256,64,0.00604224,43.3852,0.0968351
1024,64,f16,reg,native,16,16,64,256,0.00585856,44.7455,0.0998711
1024,64,f16,reg,native,32,1,1024,32,0.00722496,36.2831,0.0809833
1024,64,f16,reg,native,32,4,256,128,0.00634112,41.3403,0.0922709
1024,64,f16,reg,native,32,16,64,512,0.00599744,43.7093,0.0975585
1024,64,bf16,reg,native,8,1,1024,8,0.00648768,40.4064,0.0901865
1024,64,bf16,reg,native,8,4,256,32,0.00594624,44.0857,0.0983985
1024,64,bf16,reg,native,8,16,64,128,0.00606912,43.1931,0.0964062
1024,64,bf16,reg,native,16,1,1024,16,0.00628672,41.6981,0.0930694
1024,64,bf16,reg,native,16,4,256,64,0.0135386,19.3628,0.0432174
1024,64,bf16,reg,native,16,16,64,256,0.00606144,43.2478,0.0965284
1024,64,bf16,reg,native,32,1,1024,32,0.00620224,42.266,0.0943371
1024,64,bf16,reg,native,32,4,256,128,0.00579392,45.2447,0.100985
1024,64,bf16,reg,native,32,16,64,512,0.00590656,44.3818,0.0990595
4096,64,f16,reg,native,8,1,4096,8,0.006832,153.48,0.342565
4096,64,f16,reg,native,8,4,1024,32,0.0101805,102.999,0.229891
4096,64,f16,reg,native,8,16,256,128,0.011392,92.0449,0.205443
4096,64,f16,reg,native,16,1,4096,16,0.00699904,149.817,0.334389
4096,64,f16,reg,native,16,4,1024,64,0.00608192,172.409,0.384813
4096,64,f16,reg,native,16,16,256,256,0.00623104,168.283,0.375604
4096,64,f16,reg,native,32,1,4096,32,0.00806272,130.052,0.290275
4096,64,f16,reg,native,32,4,1024,128,0.00859904,121.941,0.27217
4096,64,f16,reg,native,32,16,256,512,0.0113568,92.3302,0.20608
4096,64,bf16,reg,native,8,1,4096,8,0.00666496,157.327,0.351151
4096,64,bf16,reg,native,8,4,1024,32,0.00602176,174.131,0.388658
4096,64,bf16,reg,native,8,16,256,128,0.0068512,153.05,0.341605
4096,64,bf16,reg,native,16,1,4096,16,0.00680192,154.159,0.34408
4096,64,bf16,reg,native,16,4,1024,64,0.0066112,158.606,0.354006
4096,64,bf16,reg,native,16,16,256,256,0.0062624,167.44,0.373723
4096,64,bf16,reg,native,32,1,4096,32,0.006688,156.785,0.349941
4096,64,bf16,reg,native,32,4,1024,128,0.00650624,161.165,0.359717
4096,64,bf16,reg,native,32,16,256,512,0.00684224,153.25,0.342052
16384,64,f16,reg,native,8,1,16384,8,0.0205421,204.181,0.455729
16384,64,f16,reg,native,8,4,4096,32,0.00761344,550.908,1.22962
16384,64,f16,reg,native,8,16,1024,128,0.00715328,586.347,1.30872
16384,64,f16,reg,native,16,1,16384,16,0.0205286,204.315,0.456027
16384,64,f16,reg,native,16,4,4096,64,0.012025,348.8,0.778515
16384,64,f16,reg,native,16,16,1024,256,0.00709184,591.427,1.32005
16384,64,f16,reg,native,32,1,16384,32,0.0205549,204.054,0.455445
16384,64,f16,reg,native,32,4,4096,128,0.010304,407.056,0.908542
16384,64,f16,reg,native,32,16,1024,512,0.0110899,378.209,0.844156
16384,64,bf16,reg,native,8,1,16384,8,0.020551,204.092,0.45553
16384,64,bf16,reg,native,8,4,4096,32,0.00873536,480.152,1.07169
16384,64,bf16,reg,native,8,16,1024,128,0.00720896,581.818,1.29861
16384,64,bf16,reg,native,16,1,16384,16,0.0205709,203.895,0.455091
16384,64,bf16,reg,native,16,4,4096,64,0.0063104,664.665,1.48352
16384,64,bf16,reg,native,16,16,1024,256,0.012025,348.8,0.778515
16384,64,bf16,reg,native,32,1,16384,32,0.0205299,204.302,0.455999
16384,64,bf16,reg,native,32,4,4096,128,0.0102925,407.512,0.909559
16384,64,bf16,reg,native,32,16,1024,512,0.0103955,403.472,0.900543
65536,64,f16,reg,native,8,1,65536,8,0.0698163,240.305,0.536357
65536,64,f16,reg,native,8,4,16384,32,0.020553,816.292,1.82195
65536,64,f16,reg,native,8,16,4096,128,0.0105382,1592.03,3.55339
65536,64,f16,reg,native,16,1,65536,16,0.0737574,227.465,0.507698
65536,64,f16,reg,native,16,4,16384,64,0.0180128,931.405,2.07888
65536,64,f16,reg,native,16,16,4096,256,0.0180275,930.645,2.07718
65536,64,f16,reg,native,32,1,65536,32,0.071833,233.559,0.521299
65536,64,f16,reg,native,32,4,16384,128,0.0288013,582.516,1.30017
65536,64,f16,reg,native,32,16,4096,512,0.0328474,510.763,1.14001
65536,64,bf16,reg,native,8,1,65536,8,0.0717126,233.951,0.522174
65536,64,bf16,reg,native,8,4,16384,32,0.0205786,815.276,1.81968
65536,64,bf16,reg,native,8,16,4096,128,0.010663,1573.4,3.5118
65536,64,bf16,reg,native,16,1,65536,16,0.0738112,227.299,0.507328
65536,64,bf16,reg,native,16,4,16384,64,0.0188787,888.684,1.98353
65536,64,bf16,reg,native,16,16,4096,256,0.0184614,908.771,2.02836
65536,64,bf16,reg,native,32,1,65536,32,0.071904,233.328,0.520784
65536,64,bf16,reg,native,32,4,16384,128,0.0288032,582.477,1.30008
65536,64,bf16,reg,native,32,16,4096,512,0.0310214,540.826,1.20712
262144,64,f16,reg,native,8,1,262144,8,0.340309,197.2,0.440147
262144,64,f16,reg,native,8,4,65536,32,0.171995,390.179,0.870874
262144,64,f16,reg,native,8,16,16384,128,0.172248,389.607,0.869596
262144,64,f16,reg,native,16,1,262144,16,0.348603,192.508,0.429675
262144,64,f16,reg,native,16,4,65536,64,0.172738,388.501,0.867128
262144,64,f16,reg,native,16,16,16384,256,0.172408,389.245,0.868789
262144,64,f16,reg,native,32,1,262144,32,0.350157,191.654,0.427768
262144,64,f16,reg,native,32,4,65536,128,0.172752,388.469,0.867057
262144,64,f16,reg,native,32,16,16384,512,0.180547,371.697,0.829622
262144,64,bf16,reg,native,8,1,262144,8,0.344724,194.674,0.43451
262144,64,bf16,reg,native,8,4,65536,32,0.171843,390.525,0.871646
262144,64,bf16,reg,native,8,16,16384,128,0.171796,390.631,0.871883
262144,64,bf16,reg,native,16,1,262144,16,0.34976,191.871,0.428253
262144,64,bf16,reg,native,16,4,65536,64,0.17242,389.216,0.868724
262144,64,bf16,reg,native,16,16,16384,256,0.176293,380.666,0.849641
262144,64,bf16,reg,native,32,1,262144,32,0.350684,191.366,0.427126
262144,64,bf16,reg,native,32,4,65536,128,0.177455,378.175,0.844079
262144,64,bf16,reg,native,32,16,16384,512,0.184739,363.263,0.810796
1024,128,f16,reg,native,8,1,1024,8,0.00619648,84.6106,0.18885
1024,128,f16,reg,native,8,4,256,32,0.00606336,86.4682,0.192996
1024,128,f16,reg,native,8,16,64,128,0.00588224,89.1307,0.198938
1024,128,f16,reg,native,16,1,1024,16,0.00575552,91.0931,0.203318
1024,128,f16,reg,native,16,4,256,64,0.00640128,81.9036,0.182808
1024,128,f16,reg,native,16,16,64,256,0.00573888,91.3572,0.203908
1024,128,f16,reg,native,32,1,1024,32,0.00664448,78.9058,0.176116
1024,128,f16,reg,native,32,4,256,128,0.0062432,83.9775,0.187436
1024,128,f16,reg,native,32,16,64,512,0.0064288,81.553,0.182025
1024,128,bf16,reg,native,8,1,1024,8,0.00592,88.5622,0.197669
1024,128,bf16,reg,native,8,4,256,32,0.00654976,80.0469,0.178663
1024,128,bf16,reg,native,8,16,64,128,0.00607424,86.3133,0.19265
1024,128,bf16,reg,native,16,1,1024,16,0.00618112,84.8209,0.189319
1024,128,bf16,reg,native,16,4,256,64,0.00621696,84.3319,0.188227
1024,128,bf16,reg,native,16,16,64,256,0.00648512,80.8448,0.180444
1024,128,bf16,reg,native,32,1,1024,32,0.00666944,78.6105,0.175457
1024,128,bf16,reg,native,32,4,256,128,0.006176,84.8912,0.189476
1024,128,bf16,reg,native,32,16,64,512,0.00595072,88.105,0.196649
4096,128,f16,reg,native,8,1,4096,8,0.00634176,330.689,0.738093
4096,128,f16,reg,native,8,4,1024,32,0.00581568,360.603,0.80486
4096,128,f16,reg,native,8,16,256,128,0.0067968,308.55,0.688678
4096,128,f16,reg,native,16,1,4096,16,0.00689408,304.196,0.678961
4096,128,f16,reg,native,16,4,1024,64,0.00641792,326.765,0.729334
4096,128,f16,reg,native,16,16,256,256,0.0062208,337.119,0.752445
4096,128,f16,reg,native,32,1,4096,32,0.00706368,296.892,0.662659
4096,128,f16,reg,native,32,4,1024,128,0.00654848,320.25,0.714793
4096,128,f16,reg,native,32,16,256,512,0.00661376,317.089,0.707738
4096,128,bf16,reg,native,8,1,4096,8,0.0070592,297.081,0.663079
4096,128,bf16,reg,native,8,4,1024,32,0.00655808,319.781,0.713747
4096,128,bf16,reg,native,8,16,256,128,0.0069888,300.073,0.669759
4096,128,bf16,reg,native,16,1,4096,16,0.00724672,289.393,0.645921
4096,128,bf16,reg,native,16,4,1024,64,0.00603712,347.376,0.775338
4096,128,bf16,reg,native,16,16,256,256,0.00654848,320.25,0.714793
4096,128,bf16,reg,native,32,1,4096,32,0.0131776,159.145,0.355209
4096,128,bf16,reg,native,32,4,1024,128,0.0120365,174.233,0.388885
4096,128,bf16,reg,native,32,16,256,512,0.00632192,331.727,0.740409
16384,128,f16,reg,native,8,1,16384,8,0.0185075,453.254,1.01166
16384,128,f16,reg,native,8,4,4096,32,0.0099904,839.667,1.87412
16384,128,f16,reg,native,8,16,1024,128,0.0090816,923.693,2.06167
16384,128,f16,reg,native,16,1,16384,16,0.0205805,407.6,0.909757
16384,128,f16,reg,native,16,4,4096,64,0.00876096,957.499,2.13712
16384,128,f16,reg,native,16,16,1024,256,0.00929088,902.886,2.01523
16384,128,f16,reg,native,32,1,16384,32,0.020537,408.464,0.911685
16384,128,f16,reg,native,32,4,4096,128,0.0103533,810.237,1.80843
16384,128,f16,reg,native,32,16,1024,512,0.0103699,808.937,1.80553
16384,128,bf16,reg,native,8,1,16384,8,0.0185485,452.253,1.00942
16384,128,bf16,reg,native,8,4,4096,32,0.0085536,980.711,2.18893
16384,128,bf16,reg,native,8,16,1024,128,0.00964352,869.87,1.94154
16384,128,bf16,reg,native,16,1,16384,16,0.0205677,407.854,0.910323
16384,128,bf16,reg,native,16,4,4096,64,0.00856192,979.758,2.1868
16384,128,bf16,reg,native,16,16,1024,256,0.00988864,848.308,1.89341
16384,128,bf16,reg,native,32,1,16384,32,0.0205402,408.4,0.911543
16384,128,bf16,reg,native,32,4,4096,128,0.0106784,785.568,1.75337
16384,128,bf16,reg,native,32,16,1024,512,0.0103558,810.037,1.80799
65536,128,f16,reg,native,8,1,65536,8,0.0697664,480.954,1.07348
65536,128,f16,reg,native,8,4,16384,32,0.0205747,1630.86,3.64005
65536,128,f16,reg,native,8,16,4096,128,0.0205338,1634.11,3.64731
65536,128,f16,reg,native,16,1,65536,16,0.0737779,454.803,1.01511
65536,128,f16,reg,native,16,4,16384,64,0.0205037,1636.51,3.65266
65536,128,f16,reg,native,16,16,4096,256,0.02024,1657.83,3.70024
65536,128,f16,reg,native,32,1,65536,32,0.0717088,467.926,1.0444
65536,128,f16,reg,native,32,4,16384,128,0.0287462,1167.26,2.60531
65536,128,f16,reg,native,32,16,4096,512,0.0307923,1089.7,2.4322
65536,128,bf16,reg,native,8,1,65536,8,0.0697741,480.901,1.07336
65536,128,bf16,reg,native,8,4,16384,32,0.0205523,1632.63,3.64401
65536,128,bf16,reg,native,8,16,4096,128,0.02056,1632.02,3.64265
65536,128,bf16,reg,native,16,1,65536,16,0.0737472,454.993,1.01554
65536,128,bf16,reg,native,16,4,16384,64,0.0204941,1637.27,3.65437
65536,128,bf16,reg,native,16,16,4096,256,0.0205702,1631.21,3.64084
65536,128,bf16,reg,native,32,1,65536,32,0.0717114,467.91,1.04437
65536,128,bf16,reg,native,32,4,16384,128,0.0288064,1164.83,2.59987
65536,128,bf16,reg,native,32,16,4096,512,0.0308134,1088.95,2.43053
262144,128,f16,reg,native,8,1,262144,8,0.353553,379.625,0.847317
262144,128,f16,reg,native,8,4,65536,32,0.349149,384.414,0.858006
262144,128,f16,reg,native,8,16,16384,128,0.352221,381.061,0.850523
262144,128,f16,reg,native,16,1,262144,16,0.341918,392.544,0.876151
262144,128,f16,reg,native,16,4,65536,64,0.349972,383.51,0.855988
262144,128,f16,reg,native,16,16,16384,256,0.349267,384.284,0.857715
262144,128,f16,reg,native,32,1,262144,32,0.348627,384.989,0.85929
262144,128,f16,reg,native,32,4,65536,128,0.348728,384.878,0.859042
262144,128,f16,reg,native,32,16,16384,512,0.347211,386.56,0.862795
262144,128,bf16,reg,native,8,1,262144,8,0.354697,378.401,0.844585
262144,128,bf16,reg,native,8,4,65536,32,0.348823,384.773,0.858807
262144,128,bf16,reg,native,8,16,16384,128,0.354167,378.967,0.845849
262144,128,bf16,reg,native,16,1,262144,16,0.343005,391.299,0.873373
262144,128,bf16,reg,native,16,4,65536,64,0.349573,383.947,0.856964
262144,128,bf16,reg,native,16,16,16384,256,0.349102,384.466,0.858121
262144,128,bf16,reg,native,32,1,262144,32,0.346666,387.167,0.86415
262144,128,bf16,reg,native,32,4,65536,128,0.348346,385.3,0.859984
262144,128,bf16,reg,native,32,16,16384,512,0.347201,386.57,0.862819
1024,256,f16,reg,native,8,1,1024,8,0.0123091,85.1869,0.190136
1024,256,f16,reg,native,8,4,256,32,0.012688,82.6431,0.184458
1024,256,f16,reg,native,8,16,64,128,0.00882752,118.785,0.265126
1024,256,f16,reg,native,16,1,1024,16,0.00633856,165.428,0.369233
1024,256,f16,reg,native,16,4,256,64,0.00649792,161.371,0.360177
1024,256,f16,reg,native,16,16,64,256,0.00593984,176.533,0.394018
1024,256,f16,reg,native,32,1,1024,32,0.0122816,85.3778,0.190562
1024,256,f16,reg,native,32,4,256,128,0.00638464,164.234,0.366568
1024,256,f16,reg,native,32,16,64,512,0.013184,79.534,0.177519
1024,256,bf16,reg,native,8,1,1024,8,0.0125056,83.8485,0.187148
1024,256,bf16,reg,native,8,4,256,32,0.00884672,118.527,0.264551
1024,256,bf16,reg,native,8,16,64,128,0.00618432,169.554,0.378442
1024,256,bf16,reg,native,16,1,1024,16,0.0062624,167.44,0.373723
1024,256,bf16,reg,native,16,4,256,64,0.00587264,178.553,0.398527
1024,256,bf16,reg,native,16,16,64,256,0.00667584,157.07,0.350578
1024,256,bf16,reg,native,32,1,1024,32,0.00641024,163.578,0.365104
1024,256,bf16,reg,native,32,4,256,128,0.00906176,115.714,0.258273
1024,256,bf16,reg,native,32,16,64,512,0.0058656,178.767,0.399005
4096,256,f16,reg,native,8,1,4096,8,0.0131405,319.19,0.712426
4096,256,f16,reg,native,8,4,1024,32,0.00632,663.656,1.48127
4096,256,f16,reg,native,8,16,256,128,0.0112512,372.787,0.832055
4096,256,f16,reg,native,16,1,4096,16,0.0125568,334.027,0.745542
4096,256,f16,reg,native,16,4,1024,64,0.0092,455.903,1.01757
4096,256,f16,reg,native,16,16,256,256,0.0112563,372.618,0.831676
4096,256,f16,reg,native,32,1,4096,32,0.0120243,348.818,0.778557
4096,256,f16,reg,native,32,4,1024,128,0.00782912,535.731,1.19574
4096,256,f16,reg,native,32,16,256,512,0.0117203,357.866,0.798751
4096,256,bf16,reg,native,8,1,4096,8,0.013367,313.78,0.700351
4096,256,bf16,reg,native,8,4,1024,32,0.00752064,557.706,1.24479
4096,256,bf16,reg,native,8,16,256,128,0.00903296,464.333,1.03638
4096,256,bf16,reg,native,16,1,4096,16,0.0120595,347.8,0.776284
4096,256,bf16,reg,native,16,4,1024,64,0.00740096,566.724,1.26492
4096,256,bf16,reg,native,16,16,256,256,0.0119226,351.796,0.785202
4096,256,bf16,reg,native,32,1,4096,32,0.0122656,341.957,0.763242
4096,256,bf16,reg,native,32,4,1024,128,0.0110701,378.887,0.845668
4096,256,bf16,reg,native,32,16,256,512,0.011287,371.604,0.829413
16384,256,f16,reg,native,8,1,16384,8,0.0245645,682.987,1.52442
16384,256,f16,reg,native,8,4,4096,32,0.015824,1060.24,2.36644
16384,256,f16,reg,native,8,16,1024,128,0.0192723,870.534,1.94302
16384,256,f16,reg,native,16,1,16384,16,0.0165414,1014.25,2.2638
16384,256,f16,reg,native,16,4,4096,64,0.0124358,1349.1,3.01117
16384,256,f16,reg,native,16,16,1024,256,0.0124192,1350.91,3.01521
16384,256,f16,reg,native,32,1,16384,32,0.0185965,902.172,2.01363
16384,256,f16,reg,native,32,4,4096,128,0.0130925,1281.44,2.86015
16384,256,f16,reg,native,32,16,1024,512,0.012423,1350.49,3.01428
16384,256,bf16,reg,native,8,1,16384,8,0.0246483,680.664,1.51923
16384,256,bf16,reg,native,8,4,4096,32,0.0151706,1105.91,2.46836
16384,256,bf16,reg,native,8,16,1024,128,0.0164435,1020.29,2.27728
16384,256,bf16,reg,native,16,1,16384,16,0.016503,1016.61,2.26906
16384,256,bf16,reg,native,16,4,4096,64,0.0123616,1357.2,3.02926
16384,256,bf16,reg,native,16,16,1024,256,0.0132992,1261.52,2.81569
16384,256,bf16,reg,native,32,1,16384,32,0.018567,903.602,2.01682
16384,256,bf16,reg,native,32,4,4096,128,0.0123635,1356.99,3.02879
16384,256,bf16,reg,native,32,16,1024,512,0.0132806,1263.28,2.81963
65536,256,f16,reg,native,8,1,65536,8,0.172656,388.685,0.867539
65536,256,f16,reg,native,8,4,16384,32,0.17434,384.93,0.859157
65536,256,f16,reg,native,8,16,4096,128,0.174352,384.904,0.8591
65536,256,f16,reg,native,16,1,65536,16,0.175691,381.971,0.852554
65536,256,f16,reg,native,16,4,16384,64,0.173352,387.124,0.864055
65536,256,f16,reg,native,16,16,4096,256,0.176625,379.952,0.848046
65536,256,f16,reg,native,32,1,65536,32,0.175597,382.176,0.85301
65536,256,f16,reg,native,32,4,16384,128,0.171812,390.595,0.871802
65536,256,f16,reg,native,32,16,4096,512,0.175796,381.742,0.852041
65536,256,bf16,reg,native,8,1,65536,8,0.173004,387.905,0.865797
65536,256,bf16,reg,native,8,4,16384,32,0.177866,377.301,0.84213
65536,256,bf16,reg,native,8,16,4096,128,0.178061,376.887,0.841206
65536,256,bf16,reg,native,16,1,65536,16,0.172593,388.828,0.867858
65536,256,bf16,reg,native,16,4,16384,64,0.177313,378.476,0.844753
65536,256,bf16,reg,native,16,16,4096,256,0.176406,380.422,0.849095
65536,256,bf16,reg,native,32,1,65536,32,0.171792,390.64,0.871903
65536,256,bf16,reg,native,32,4,16384,128,0.175338,382.741,0.854271
65536,256,bf16,reg,native,32,16,4096,512,0.171439,391.444,0.873696
262144,256,f16,reg,native,8,1,262144,8,0.705615,380.428,0.849109
262144,256,f16,reg,native,8,4,65536,32,0.711323,377.375,0.842295
262144,256,f16,reg,native,8,16,16384,128,0.708268,379.003,0.845928
262144,256,f16,reg,native,16,1,262144,16,0.703005,381.84,0.852261
262144,256,f16,reg,native,16,4,65536,64,0.709201,378.504,0.844815
262144,256,f16,reg,native,16,16,16384,256,0.706479,379.963,0.84807
262144,256,f16,reg,native,32,1,262144,32,0.702506,382.111,0.852867
262144,256,f16,reg,native,32,4,65536,128,0.709215,378.497,0.844798
262144,256,f16,reg,native,32,16,16384,512,0.700348,383.289,0.855495
262144,256,bf16,reg,native,8,1,262144,8,0.709327,378.437,0.844665
262144,256,bf16,reg,native,8,4,65536,32,0.711944,377.046,0.84156
