    rows    dim dtype kern  acc      tpr  rpb     grid  block        ms      GB/s    %peak
    1024     64 f16   reg   native     8    1     1024      8    0.0080      32.9     7.3%
    1024     64 f16   reg   native     8    4      256     32    0.0060      43.7     9.8%
    1024     64 f16   reg   native     8   16       64    128    0.0057      45.6    10.2%
    1024     64 f16   reg   native    16    1     1024     16    0.0056      47.2    10.5%
    1024     64 f16   reg   native    16    4      256     64    0.0060      43.4     9.7%
    1024     64 f16   reg   native    16   16       64    256    0.0059      44.7    10.0%
    1024     64 f16   reg   native    32    1     1024     32    0.0072      36.3     8.1%
    1024     64 f16   reg   native    32    4      256    128    0.0063      41.3     9.2%
    1024     64 f16   reg   native    32   16       64    512    0.0060      43.7     9.8%
    1024     64 bf16  reg   native     8    1     1024      8    0.0065      40.4     9.0%
    1024     64 bf16  reg   native     8    4      256     32    0.0059      44.1     9.8%
    1024     64 bf16  reg   native     8   16       64    128    0.0061      43.2     9.6%
    1024     64 bf16  reg   native    16    1     1024     16    0.0063      41.7     9.3%
    1024     64 bf16  reg   native    16    4      256     64    0.0135      19.4     4.3%
    1024     64 bf16  reg   native    16   16       64    256    0.0061      43.2     9.7%
    1024     64 bf16  reg   native    32    1     1024     32    0.0062      42.3     9.4%
    1024     64 bf16  reg   native    32    4      256    128    0.0058      45.2    10.1%
    1024     64 bf16  reg   native    32   16       64    512    0.0059      44.4     9.9%
    4096     64 f16   reg   native     8    1     4096      8    0.0068     153.5    34.3%
    4096     64 f16   reg   native     8    4     1024     32    0.0102     103.0    23.0%
    4096     64 f16   reg   native     8   16      256    128    0.0114      92.0    20.5%
    4096     64 f16   reg   native    16    1     4096     16    0.0070     149.8    33.4%
    4096     64 f16   reg   native    16    4     1024     64    0.0061     172.4    38.5%
    4096     64 f16   reg   native    16   16      256    256    0.0062     168.3    37.6%
    4096     64 f16   reg   native    32    1     4096     32    0.0081     130.1    29.0%
    4096     64 f16   reg   native    32    4     1024    128    0.0086     121.9    27.2%
    4096     64 f16   reg   native    32   16      256    512    0.0114      92.3    20.6%
    4096     64 bf16  reg   native     8    1     4096      8    0.0067     157.3    35.1%
    4096     64 bf16  reg   native     8    4     1024     32    0.0060     174.1    38.9%
    4096     64 bf16  reg   native     8   16      256    128    0.0069     153.0    34.2%
    4096     64 bf16  reg   native    16    1     4096     16    0.0068     154.2    34.4%
    4096     64 bf16  reg   native    16    4     1024     64    0.0066     158.6    35.4%
    4096     64 bf16  reg   native    16   16      256    256    0.0063     167.4    37.4%
    4096     64 bf16  reg   native    32    1     4096     32    0.0067     156.8    35.0%
    4096     64 bf16  reg   native    32    4     1024    128    0.0065     161.2    36.0%
    4096     64 bf16  reg   native    32   16      256    512    0.0068     153.3    34.2%
   16384     64 f16   reg   native     8    1    16384      8    0.0205     204.2    45.6%
   16384     64 f16   reg   native     8    4     4096     32    0.0076     550.9   123.0%
   16384     64 f16   reg   native     8   16     1024    128    0.0072     586.3   130.9%
   16384     64 f16   reg   native    16    1    16384     16    0.0205     204.3    45.6%
   16384     64 f16   reg   native    16    4     4096     64    0.0120     348.8    77.9%
   16384     64 f16   reg   native    16   16     1024    256    0.0071     591.4   132.0%
   16384     64 f16   reg   native    32    1    16384     32    0.0206     204.1    45.5%
   16384     64 f16   reg   native    32    4     4096    128    0.0103     407.1    90.9%
   16384     64 f16   reg   native    32   16     1024    512    0.0111     378.2    84.4%
   16384     64 bf16  reg   native     8    1    16384      8    0.0206     204.1    45.6%
   16384     64 bf16  reg   native     8    4     4096     32    0.0087     480.2   107.2%
   16384     64 bf16  reg   native     8   16     1024    128    0.0072     581.8   129.9%
   16384     64 bf16  reg   native    16    1    16384     16    0.0206     203.9    45.5%
   16384     64 bf16  reg   native    16    4     4096     64    0.0063     664.7   148.4%
   16384     64 bf16  reg   native    16   16     1024    256    0.0120     348.8    77.9%
   16384     64 bf16  reg   native    32    1    16384     32    0.0205     204.3    45.6%
   16384     64 bf16  reg   native    32    4     4096    128    0.0103     407.5    91.0%
   16384     64 bf16  reg   native    32   16     1024    512    0.0104     403.5    90.1%
   65536     64 f16   reg   native     8    1    65536      8    0.0698     240.3    53.6%
   65536     64 f16   reg   native     8    4    16384     32    0.0206     816.3   182.2%
   65536     64 f16   reg   native     8   16     4096    128    0.0105    1592.0   355.3%
   65536     64 f16   reg   native    16    1    65536     16    0.0738     227.5    50.8%
   65536     64 f16   reg   native    16    4    16384     64    0.0180     931.4   207.9%
   65536     64 f16   reg   native    16   16     4096    256    0.0180     930.6   207.7%
   65536     64 f16   reg   native    32    1    65536     32    0.0718     233.6    52.1%
   65536     64 f16   reg   native    32    4    16384    128    0.0288     582.5   130.0%
   65536     64 f16   reg   native    32   16     4096    512    0.0328     510.8   114.0%
   65536     64 bf16  reg   native     8    1    65536      8    0.0717     234.0    52.2%
   65536     64 bf16  reg   native     8    4    16384     32    0.0206     815.3   182.0%
   65536     64 bf16  reg   native     8   16     4096    128    0.0107    1573.4   351.2%
   65536     64 bf16  reg   native    16    1    65536     16    0.0738     227.3    50.7%
   65536     64 bf16  reg   native    16    4    16384     64    0.0189     888.7   198.4%
   65536     64 bf16  reg   native    16   16     4096    256    0.0185     908.8   202.8%
   65536     64 bf16  reg   native    32    1    65536     32    0.0719     233.3    52.1%
   65536     64 bf16  reg   native    32    4    16384    128    0.0288     582.5   130.0%
   65536     64 bf16  reg   native    32   16     4096    512    0.0310     540.8   120.7%
  262144     64 f16   reg   native     8    1   262144      8    0.3403     197.2    44.0%
  262144     64 f16   reg   native     8    4    65536     32    0.1720     390.2    87.1%
  262144     64 f16   reg   native     8   16    16384    128    0.1722     389.6    87.0%
  262144     64 f16   reg   native    16    1   262144     16    0.3486     192.5    43.0%
  262144     64 f16   reg   native    16    4    65536     64    0.1727     388.5    86.7%
  262144     64 f16   reg   native    16   16    16384    256    0.1724     389.2    86.9%
  262144     64 f16   reg   native    32    1   262144     32    0.3502     191.7    42.8%
  262144     64 f16   reg   native    32    4    65536    128    0.1728     388.5    86.7%
  262144     64 f16   reg   native    32   16    16384    512    0.1805     371.7    83.0%
  262144     64 bf16  reg   native     8    1   262144      8    0.3447     194.7    43.5%
  262144     64 bf16  reg   native     8    4    65536     32    0.1718     390.5    87.2%
