rows,dim,dtype,kernel,acc,tpr,rpb,grid,block,ms,gbps,peak_frac
2048,64,f16,smem,native,32,1,2048,32,0.0067296,77.9078,0.173889
2048,64,f16,smem,native,32,4,2048,128,0.00793152,66.1018,0.147538
2048,64,f16,smem,native,32,16,2048,512,0.0129779,40.3985,0.0901687
2048,64,f16,smem,native,32,1,2048,32,0.00642432,81.6099,0.182152
2048,64,f16,smem,native,32,4,2048,128,0.00708928,73.955,0.165066
2048,64,f16,smem,native,32,16,2048,512,0.0125126,41.9007,0.0935216
2048,64,f16,smem,native,32,1,2048,32,0.0111507,47.0183,0.104944
2048,64,f16,smem,native,32,4,2048,128,0.00869376,60.3062,0.134603
2048,64,f16,smem,native,32,16,2048,512,0.0124314,42.1746,0.0941331
2048,64,bf16,smem,native,32,1,2048,32,0.00667136,78.5879,0.175407
2048,64,bf16,smem,native,32,4,2048,128,0.00707648,74.0888,0.165365
2048,64,bf16,smem,native,32,16,2048,512,0.0124314,42.1746,0.0941331
2048,64,bf16,smem,native,32,1,2048,32,0.006816,76.9202,0.171685
2048,64,bf16,smem,native,32,4,2048,128,0.0073952,70.8957,0.158238
2048,64,bf16,smem,native,32,16,2048,512,0.0123834,42.3381,0.094498
2048,64,bf16,smem,native,32,1,2048,32,0.00690688,75.9081,0.169426
2048,64,bf16,smem,native,32,4,2048,128,0.00739328,70.9141,0.158279
2048,64,bf16,smem,native,32,16,2048,512,0.0124179,42.2203,0.094235
8192,64,f16,smem,native,32,1,8192,32,0.0103802,202.035,0.450938
8192,64,f16,smem,native,32,4,8192,128,0.0123392,169.959,0.379345
8192,64,f16,smem,native,32,16,8192,512,0.0390394,53.7189,0.1199
8192,64,f16,smem,native,32,1,8192,32,0.0103744,202.147,0.451188
8192,64,f16,smem,native,32,4,8192,128,0.0123386,169.967,0.379364
8192,64,f16,smem,native,32,16,8192,512,0.0390426,53.7145,0.11989
8192,64,f16,smem,native,32,1,8192,32,0.0134688,155.704,0.34753
8192,64,f16,smem,native,32,4,8192,128,0.0123443,169.888,0.379187
8192,64,f16,smem,native,32,16,8192,512,0.0390816,53.6609,0.11977
8192,64,bf16,smem,native,32,1,8192,32,0.010416,201.339,0.449386
8192,64,bf16,smem,native,32,4,8192,128,0.0123315,170.064,0.379581
8192,64,bf16,smem,native,32,16,8192,512,0.0389997,53.7736,0.120022
8192,64,bf16,smem,native,32,1,8192,32,0.0104205,201.253,0.449193
8192,64,bf16,smem,native,32,4,8192,128,0.012343,169.906,0.379227
8192,64,bf16,smem,native,32,16,8192,512,0.0390438,53.7127,0.119886
8192,64,bf16,smem,native,32,1,8192,32,0.0104915,199.89,0.446152
8192,64,bf16,smem,native,32,4,8192,128,0.0123398,169.95,0.379325
8192,64,bf16,smem,native,32,16,8192,512,0.0390874,53.6529,0.119752
32768,64,f16,smem,native,32,1,32768,32,0.034903,240.34,0.536436
32768,64,f16,smem,native,32,4,32768,128,0.036985,226.811,0.506239
32768,64,f16,smem,native,32,16,32768,512,0.149577,56.0822,0.125175
32768,64,f16,smem,native,32,1,32768,32,0.0348909,240.424,0.536623
32768,64,f16,smem,native,32,4,32768,128,0.0369958,226.745,0.50609
32768,64,f16,smem,native,32,16,32768,512,0.149527,56.1009,0.125216
32768,64,f16,smem,native,32,1,32768,32,0.0349069,240.314,0.536377
32768,64,f16,smem,native,32,4,32768,128,0.0370829,226.212,0.504902
32768,64,f16,smem,native,32,16,32768,512,0.149636,56.0602,0.125125
32768,64,bf16,smem,native,32,1,32768,32,0.0349043,240.332,0.536416
32768,64,bf16,smem,native,32,4,32768,128,0.0369984,226.729,0.506055
32768,64,bf16,smem,native,32,16,32768,512,0.149572,56.0839,0.125178
32768,64,bf16,smem,native,32,1,32768,32,0.0348672,240.587,0.536987
32768,64,bf16,smem,native,32,4,32768,128,0.0369958,226.745,0.50609
32768,64,bf16,smem,native,32,16,32768,512,0.14958,56.0813,0.125172
32768,64,bf16,smem,native,32,1,32768,32,0.0349114,240.283,0.536308
32768,64,bf16,smem,native,32,4,32768,128,0.0369971,226.737,0.506073
32768,64,bf16,smem,native,32,16,32768,512,0.149572,56.0841,0.125179
131072,64,f16,smem,native,32,1,131072,32,0.130079,257.954,0.575748
131072,64,f16,smem,native,32,4,131072,128,0.139683,240.219,0.536165
131072,64,f16,smem,native,32,16,131072,512,0.613558,54.6883,0.122063
131072,64,f16,smem,native,32,1,131072,32,0.129503,259.102,0.578312
131072,64,f16,smem,native,32,4,131072,128,0.139621,240.325,0.536401
131072,64,f16,smem,native,32,16,131072,512,0.608498,55.1431,0.123078
131072,64,f16,smem,native,32,1,131072,32,0.130052,258.008,0.57587
131072,64,f16,smem,native,32,4,131072,128,0.140644,238.576,0.532498
131072,64,f16,smem,native,32,16,131072,512,0.608767,55.1186,0.123024
