    rows    dim dtype kern  acc      tpr  rpb     grid  block        ms      GB/s    %peak
    2048     64 f16   smem  native    32    1     2048     32    0.0067      77.9    17.4%
    2048     64 f16   smem  native    32    4     2048    128    0.0079      66.1    14.8%
    2048     64 f16   smem  native    32   16     2048    512    0.0130      40.4     9.0%
    2048     64 f16   smem  native    32    1     2048     32    0.0064      81.6    18.2%
    2048     64 f16   smem  native    32    4     2048    128    0.0071      74.0    16.5%
    2048     64 f16   smem  native    32   16     2048    512    0.0125      41.9     9.4%
    2048     64 f16   smem  native    32    1     2048     32    0.0112      47.0    10.5%
    2048     64 f16   smem  native    32    4     2048    128    0.0087      60.3    13.5%
    2048     64 f16   smem  native    32   16     2048    512    0.0124      42.2     9.4%
    2048     64 bf16  smem  native    32    1     2048     32    0.0067      78.6    17.5%
    2048     64 bf16  smem  native    32    4     2048    128    0.0071      74.1    16.5%
    2048     64 bf16  smem  native    32   16     2048    512    0.0124      42.2     9.4%
    2048     64 bf16  smem  native    32    1     2048     32    0.0068      76.9    17.2%
    2048     64 bf16  smem  native    32    4     2048    128    0.0074      70.9    15.8%
    2048     64 bf16  smem  native    32   16     2048    512    0.0124      42.3     9.4%
    2048     64 bf16  smem  native    32    1     2048     32    0.0069      75.9    16.9%
    2048     64 bf16  smem  native    32    4     2048    128    0.0074      70.9    15.8%
    2048     64 bf16  smem  native    32   16     2048    512    0.0124      42.2     9.4%
    8192     64 f16   smem  native    32    1     8192     32    0.0104     202.0    45.1%
    8192     64 f16   smem  native    32    4     8192    128    0.0123     170.0    37.9%
    8192     64 f16   smem  native    32   16     8192    512    0.0390      53.7    12.0%
    8192     64 f16   smem  native    32    1     8192     32    0.0104     202.1    45.1%
    8192     64 f16   smem  native    32    4     8192    128    0.0123     170.0    37.9%
    8192     64 f16   smem  native    32   16     8192    512    0.0390      53.7    12.0%
    8192     64 f16   smem  native    32    1     8192     32    0.0135     155.7    34.8%
    8192     64 f16   smem  native    32    4     8192    128    0.0123     169.9    37.9%
    8192     64 f16   smem  native    32   16     8192    512    0.0391      53.7    12.0%
    8192     64 bf16  smem  native    32    1     8192     32    0.0104     201.3    44.9%
    8192     64 bf16  smem  native    32    4     8192    128    0.0123     170.1    38.0%
    8192     64 bf16  smem  native    32   16     8192    512    0.0390      53.8    12.0%
    8192     64 bf16  smem  native    32    1     8192     32    0.0104     201.3    44.9%
    8192     64 bf16  smem  native    32    4     8192    128    0.0123     169.9    37.9%
    8192     64 bf16  smem  native    32   16     8192    512    0.0390      53.7    12.0%
    8192     64 bf16  smem  native    32    1     8192     32    0.0105     199.9    44.6%
    8192     64 bf16  smem  native    32    4     8192    128    0.0123     169.9    37.9%
