rows,dim,dtype,kernel,acc,tpr,rpb,grid,block,ms,gbps,peak_frac
1024,64,f16,tc,native,32,1,1024,32,0.00569088,46.0639,0.102814
1024,64,f16,tc,native,32,4,256,128,0.00578432,45.3198,0.101153
1024,64,f16,tc,native,32,16,64,512,0.005776,45.385,0.101299
1024,64,f16,tc,native,32,1,1024,32,0.00623616,42.0361,0.0938239
1024,64,f16,tc,native,32,4,256,128,0.00589696,44.4541,0.0992208
1024,64,f16,tc,native,32,16,64,512,0.00610624,42.9305,0.0958202
1024,64,f16,tc,native,32,1,1024,32,0.00667072,39.2977,0.0877118
1024,64,f16,tc,native,32,4,256,128,0.00655616,39.9844,0.0892445
1024,64,f16,tc,native,32,16,64,512,0.0058752,44.6187,0.0995883
1024,64,bf16,tc,native,32,1,1024,32,0.00601728,43.5652,0.0972368
1024,64,bf16,tc,native,32,4,256,128,0.0060224,43.5282,0.0971541
1024,64,bf16,tc,native,32,16,64,512,0.0063232,41.4575,0.0925324
1024,64,bf16,tc,native,32,1,1024,32,0.00581952,45.0456,0.100541
1024,64,bf16,tc,native,32,4,256,128,0.00617664,42.4412,0.0947281
1024,64,bf16,tc,native,32,16,64,512,0.00625792,41.89,0.0934977
1024,64,bf16,tc,native,32,1,1024,32,0.0058816,44.5702,0.0994799
1024,64,bf16,tc,native,32,4,256,128,0.00604224,43.3852,0.0968351
1024,64,bf16,tc,native,32,16,64,512,0.0063552,41.2487,0.0920665
4096,64,f16,tc,native,32,1,4096,32,0.0074464,140.817,0.3143
4096,64,f16,tc,native,32,4,1024,128,0.00623616,168.145,0.375296
4096,64,f16,tc,native,32,16,256,512,0.00692992,151.311,0.337725
4096,64,f16,tc,native,32,1,4096,32,0.00631424,166.065,0.370655
4096,64,f16,tc,native,32,4,1024,128,0.00626304,167.423,0.373685
4096,64,f16,tc,native,32,16,256,512,0.0088224,118.854,0.26528
4096,64,f16,tc,native,32,1,4096,32,0.0068384,153.336,0.342244
4096,64,f16,tc,native,32,4,1024,128,0.00686336,152.779,0.341
4096,64,f16,tc,native,32,16,256,512,0.00707904,148.124,0.33061
4096,64,bf16,tc,native,32,1,4096,32,0.00643008,163.074,0.363977
4096,64,bf16,tc,native,32,4,1024,128,0.0116064,90.3446,0.201648
4096,64,bf16,tc,native,32,16,256,512,0.00611456,171.488,0.382759
4096,64,bf16,tc,native,32,1,4096,32,0.00695616,150.741,0.336451
4096,64,bf16,tc,native,32,4,1024,128,0.0059968,174.856,0.390276
4096,64,bf16,tc,native,32,16,256,512,0.00656,159.844,0.356769
4096,64,bf16,tc,native,32,1,4096,32,0.00678464,154.551,0.344956
4096,64,bf16,tc,native,32,4,1024,128,0.0071328,147.008,0.328119
4096,64,bf16,tc,native,32,16,256,512,0.00731712,143.304,0.319853
16384,64,f16,tc,native,32,1,16384,32,0.0190355,220.341,0.491797
16384,64,f16,tc,native,32,4,4096,128,0.0103757,404.244,0.902265
16384,64,f16,tc,native,32,16,1024,512,0.0140237,299.087,0.667558
16384,64,f16,tc,native,32,1,16384,32,0.0186067,225.419,0.503131
16384,64,f16,tc,native,32,4,4096,128,0.0134784,311.187,0.694564
16384,64,f16,tc,native,32,16,1024,512,0.0103418,405.57,0.905225
16384,64,f16,tc,native,32,1,16384,32,0.0189952,220.809,0.492841
16384,64,f16,tc,native,32,4,4096,128,0.0103341,405.871,0.905897
16384,64,f16,tc,native,32,16,1024,512,0.010352,405.168,0.904329
16384,64,bf16,tc,native,32,1,16384,32,0.0190554,220.111,0.491285
16384,64,bf16,tc,native,32,4,4096,128,0.0103341,405.871,0.905897
16384,64,bf16,tc,native,32,16,1024,512,0.0103578,404.943,0.903826
16384,64,bf16,tc,native,32,1,16384,32,0.018631,225.125,0.502474
16384,64,bf16,tc,native,32,4,4096,128,0.0103571,404.968,0.903882
16384,64,bf16,tc,native,32,16,1024,512,0.0132493,316.568,0.706575
16384,64,bf16,tc,native,32,1,16384,32,0.0186266,225.179,0.502595
16384,64,bf16,tc,native,32,4,4096,128,0.0133619,313.9,0.700619
16384,64,bf16,tc,native,32,16,1024,512,0.0103667,404.593,0.903045
65536,64,f16,tc,native,32,1,65536,32,0.0696614,240.839,0.537549
65536,64,f16,tc,native,32,4,16384,128,0.0308371,544.059,1.21433
65536,64,f16,tc,native,32,16,4096,512,0.030855,543.743,1.21363
65536,64,f16,tc,native,32,1,65536,32,0.0696608,240.842,0.537554
65536,64,f16,tc,native,32,4,16384,128,0.0308442,543.935,1.21405
65536,64,f16,tc,native,32,16,4096,512,0.030839,544.025,1.21426
65536,64,f16,tc,native,32,1,65536,32,0.0696877,240.749,0.537347
65536,64,f16,tc,native,32,4,16384,128,0.0308333,544.127,1.21448
