    rows    dim dtype kern  acc      tpr  rpb     grid  block        ms      GB/s    %peak
    1024     64 f16   tc    native    32    1     1024     32    0.0057      46.1    10.3%
    1024     64 f16   tc    native    32    4      256    128    0.0058      45.3    10.1%
    1024     64 f16   tc    native    32   16       64    512    0.0058      45.4    10.1%
    1024     64 f16   tc    native    32    1     1024     32    0.0062      42.0     9.4%
    1024     64 f16   tc    native    32    4      256    128    0.0059      44.5     9.9%
    1024     64 f16   tc    native    32   16       64    512    0.0061      42.9     9.6%
    1024     64 f16   tc    native    32    1     1024     32    0.0067      39.3     8.8%
    1024     64 f16   tc    native    32    4      256    128    0.0066      40.0     8.9%
    1024     64 f16   tc    native    32   16       64    512    0.0059      44.6    10.0%
    1024     64 bf16  tc    native    32    1     1024     32    0.0060      43.6     9.7%
    1024     64 bf16  tc    native    32    4      256    128    0.0060      43.5     9.7%
    1024     64 bf16  tc    native    32   16       64    512    0.0063      41.5     9.3%
    1024     64 bf16  tc    native    32    1     1024     32    0.0058      45.0    10.1%
    1024     64 bf16  tc    native    32    4      256    128    0.0062      42.4     9.5%
    1024     64 bf16  tc    native    32   16       64    512    0.0063      41.9     9.3%
    1024     64 bf16  tc    native    32    1     1024     32    0.0059      44.6     9.9%
    1024     64 bf16  tc    native    32    4      256    128    0.0060      43.4     9.7%
    1024     64 bf16  tc    native    32   16       64    512    0.0064      41.2     9.2%
    4096     64 f16   tc    native    32    1     4096     32    0.0074     140.8    31.4%
    4096     64 f16   tc    native    32    4     1024    128    0.0062     168.1    37.5%
    4096     64 f16   tc    native    32   16      256    512    0.0069     151.3    33.8%
    4096     64 f16   tc    native    32    1     4096     32    0.0063     166.1    37.1%
    4096     64 f16   tc    native    32    4     1024    128    0.0063     167.4    37.4%
    4096     64 f16   tc    native    32   16      256    512    0.0088     118.9    26.5%
    4096     64 f16   tc    native    32    1     4096     32    0.0068     153.3    34.2%
    4096     64 f16   tc    native    32    4     1024    128    0.0069     152.8    34.1%
    4096     64 f16   tc    native    32   16      256    512    0.0071     148.1    33.1%
    4096     64 bf16  tc    native    32    1     4096     32    0.0064     163.1    36.4%
    4096     64 bf16  tc    native    32    4     1024    128    0.0116      90.3    20.2%
    4096     64 bf16  tc    native    32   16      256    512    0.0061     171.5    38.3%
    4096     64 bf16  tc    native    32    1     4096     32    0.0070     150.7    33.6%
    4096     64 bf16  tc    native    32    4     1024    128    0.0060     174.9    39.0%
    4096     64 bf16  tc    native    32   16      256    512    0.0066     159.8    35.7%
    4096     64 bf16  tc    native    32    1     4096     32    0.0068     154.6    34.5%
    4096     64 bf16  tc    native    32    4     1024    128    0.0071     147.0    32.8%
    4096     64 bf16  tc    native    32   16      256    512    0.0073     143.3    32.0%
   16384     64 f16   tc    native    32    1    16384     32    0.0190     220.3    49.2%
   16384     64 f16   tc    native    32    4     4096    128    0.0104     404.2    90.2%
   16384     64 f16   tc    native    32   16     1024    512    0.0140     299.1    66.8%
   16384     64 f16   tc    native    32    1    16384     32    0.0186     225.4    50.3%
   16384     64 f16   tc    native    32    4     4096    128    0.0135     311.2    69.5%
   16384     64 f16   tc    native    32   16     1024    512    0.0103     405.6    90.5%
   16384     64 f16   tc    native    32    1    16384     32    0.0190     220.8    49.3%
   16384     64 f16   tc    native    32    4     4096    128    0.0103     405.9    90.6%
   16384     64 f16   tc    native    32   16     1024    512    0.0104     405.2    90.4%
   16384     64 bf16  tc    native    32    1    16384     32    0.0191     220.1    49.1%
   16384     64 bf16  tc    native    32    4     4096    128    0.0103     405.9    90.6%
   16384     64 bf16  tc    native    32   16     1024    512    0.0104     404.9    90.4%
   16384     64 bf16  tc    native    32    1    16384     32    0.0186     225.1    50.2%
   16384     64 bf16  tc    native    32    4     4096    128    0.0104     405.0    90.4%
   16384     64 bf16  tc    native    32   16     1024    512    0.0132     316.6    70.7%
   16384     64 bf16  tc    native    32    1    16384     32    0.0186     225.2    50.3%
   16384     64 bf16  tc    native    32    4     4096    128    0.0134     313.9    70.1%
   16384     64 bf16  tc    native    32   16     1024    512    0.0104     404.6    90.3%
   65536     64 f16   tc    native    32    1    65536     32    0.0697     240.8    53.8%
   65536     64 f16   tc    native    32    4    16384    128    0.0308     544.1   121.4%
   65536     64 f16   tc    native    32   16     4096    512    0.0309     543.7   121.4%
   65536     64 f16   tc    native    32    1    65536     32    0.0697     240.8    53.8%
   65536     64 f16   tc    native    32    4    16384    128    0.0308     543.9   121.4%
