m,n,k,dtype,unfused_ms,fused_ms,speedup,gflops_unfused,gflops_fused,unfused_gbs,fused_gbs,saved_mib,saved_pct,bitwise,speedup_min,speedup_max,runs
8192,64,256,f16,4.3135,4.3141,0.9999,62.2,62.2,3.2,1.2,8.00,61.40,1,0.9703,1.0067,5
8192,128,256,f16,4.2959,4.3276,0.9927,125.0,124.1,3.4,1.5,8.00,56.90,1,0.9864,1.0053,5
8192,256,256,f16,4.3946,4.5184,0.9726,244.3,237.6,3.8,1.9,8.00,49.60,1,0.9640,0.9851,5
8192,512,256,f16,8.0349,7.8994,1.0172,267.3,271.9,2.6,1.6,8.00,39.50,1,1.0141,1.0181,5
8192,1024,256,f16,15.3629,15.0244,1.0225,279.6,285.9,1.9,1.4,8.00,28.10,1,1.0139,1.0242,5
8192,4096,256,f16,59.8423,58.1472,1.0292,287.1,295.5,1.4,1.3,8.00,10.30,1,1.0249,1.0326,5
8192,128,128,f16,15.4357,15.3698,1.0043,17.4,17.5,0.5,0.3,4.00,49.80,1,0.9955,1.0060,5
8192,128,512,f16,5.4737,5.4785,0.9991,196.2,196.0,5.0,1.9,16.00,61.20,1,0.9954,1.0004,5
8192,128,1024,f16,10.1788,10.1009,1.0077,211.0,212.6,5.2,1.9,32.00,63.70,1,1.0074,1.0085,5
1024,128,256,f16,4.123,4.1365,0.9967,16.3,16.2,0.5,0.2,1.00,55.20,1,0.9898,1.0109,5
32768,128,256,f16,8.0546,8.109,0.9933,266.6,264.8,7.3,3.1,32.00,57.10,1,0.9922,0.9980,5
65536,128,256,f16,15.3273,15.1685,1.0105,280.2,283.2,7.7,3.3,64.00,57.10,1,1.0099,1.0108,5
16384,256,512,f16,19.3956,19.3812,1.0007,221.4,221.6,3.0,1.3,32.00,56.90,1,1.0005,1.0013,5
4096,4096,256,f16,33.2336,33.3626,0.9961,258.5,257.5,1.3,1.1,4.00,10.00,1,0.9956,0.9975,5
