M=8192   N=64    K=256   run0 | A   4.3235 ms | B   4.2949 ms |  1.01x
M=8192   N=64    K=256   run1 | A   4.3098 ms | B   4.4416 ms |  0.97x
M=8192   N=64    K=256   run2 | A   4.3177 ms | B   4.4043 ms |  0.98x
M=8192   N=64    K=256   run3 | A   4.3073 ms | B   4.3141 ms |  1.00x
M=8192   N=64    K=256   run4 | A   4.3135 ms | B   4.3004 ms |  1.00x
M=8192   N=128   K=256   run0 | A   4.2738 ms | B   4.3328 ms |  0.99x
M=8192   N=128   K=256   run1 | A   4.3252 ms | B   4.3025 ms |  1.01x
M=8192   N=128   K=256   run2 | A   4.3264 ms | B   4.3636 ms |  0.99x
M=8192   N=128   K=256   run3 | A   4.2714 ms | B   4.2941 ms |  0.99x
M=8192   N=128   K=256   run4 | A   4.2959 ms | B   4.3276 ms |  0.99x
M=8192   N=256   K=256   run0 | A   4.3946 ms | B   4.5587 ms |  0.96x
M=8192   N=256   K=256   run1 | A   4.4394 ms | B   4.5352 ms |  0.98x
M=8192   N=256   K=256   run2 | A   4.3762 ms | B   4.5179 ms |  0.97x
M=8192   N=256   K=256   run3 | A   4.3618 ms | B   4.5184 ms |  0.97x
M=8192   N=256   K=256   run4 | A   4.4150 ms | B   4.4817 ms |  0.99x
M=8192   N=512   K=256   run0 | A   8.0349 ms | B   7.8918 ms |  1.02x
M=8192   N=512   K=256   run1 | A   8.0685 ms | B   7.9562 ms |  1.01x
M=8192   N=512   K=256   run2 | A   8.0356 ms | B   7.9155 ms |  1.02x
M=8192   N=512   K=256   run3 | A   8.0154 ms | B   7.8854 ms |  1.02x
M=8192   N=512   K=256   run4 | A   8.0109 ms | B   7.8994 ms |  1.01x
M=8192   N=1024  K=256   run0 | A  15.3352 ms | B  15.0420 ms |  1.02x
M=8192   N=1024  K=256   run1 | A  15.3042 ms | B  15.0944 ms |  1.01x
M=8192   N=1024  K=256   run2 | A  15.3629 ms | B  15.0244 ms |  1.02x
M=8192   N=1024  K=256   run3 | A  15.3823 ms | B  15.0183 ms |  1.02x
M=8192   N=1024  K=256   run4 | A  15.3630 ms | B  15.0152 ms |  1.02x
M=8192   N=4096  K=256   run0 | A  59.6668 ms | B  58.2200 ms |  1.02x
M=8192   N=4096  K=256   run1 | A  59.7699 ms | B  58.2240 ms |  1.03x
M=8192   N=4096  K=256   run2 | A  59.8423 ms | B  58.1148 ms |  1.03x
M=8192   N=4096  K=256   run3 | A  59.8509 ms | B  58.1472 ms |  1.03x
M=8192   N=4096  K=256   run4 | A  59.8671 ms | B  57.9795 ms |  1.03x
M=8192   N=128   K=128   run0 | A  15.4394 ms | B  15.4215 ms |  1.00x
M=8192   N=128   K=128   run1 | A  15.4345 ms | B  15.3698 ms |  1.00x
M=8192   N=128   K=128   run2 | A  15.5452 ms | B  15.6150 ms |  1.00x
M=8192   N=128   K=128   run3 | A  15.4357 ms | B  15.3435 ms |  1.01x
M=8192   N=128   K=128   run4 | A  15.3128 ms | B  15.2633 ms |  1.00x
M=8192   N=128   K=512   run0 | A   5.4754 ms | B   5.4785 ms |  1.00x
M=8192   N=128   K=512   run1 | A   5.4721 ms | B   5.4973 ms |  1.00x
M=8192   N=128   K=512   run2 | A   5.4744 ms | B   5.4793 ms |  1.00x
M=8192   N=128   K=512   run3 | A   5.4737 ms | B   5.4741 ms |  1.00x
M=8192   N=128   K=512   run4 | A   5.4729 ms | B   5.4707 ms |  1.00x
M=8192   N=128   K=1024  run0 | A  10.1801 ms | B  10.0946 ms |  1.01x
M=8192   N=128   K=1024  run1 | A  10.1788 ms | B  10.1038 ms |  1.01x
M=8192   N=128   K=1024  run2 | A  10.1832 ms | B  10.1015 ms |  1.01x
M=8192   N=128   K=1024  run3 | A  10.1780 ms | B  10.0959 ms |  1.01x
M=8192   N=128   K=1024  run4 | A  10.1758 ms | B  10.1009 ms |  1.01x
M=1024   N=128   K=256   run0 | A   4.1204 ms | B   4.1629 ms |  0.99x
M=1024   N=128   K=256   run1 | A   4.1924 ms | B   4.1584 ms |  1.01x
M=1024   N=128   K=256   run2 | A   4.1440 ms | B   4.0995 ms |  1.01x
M=1024   N=128   K=256   run3 | A   4.1230 ms | B   4.1009 ms |  1.01x
M=1024   N=128   K=256   run4 | A   4.1062 ms | B   4.1365 ms |  0.99x
M=32768  N=128   K=256   run0 | A   8.0544 ms | B   8.1176 ms |  0.99x
M=32768  N=128   K=256   run1 | A   8.0546 ms | B   8.0704 ms |  1.00x
M=32768  N=128   K=256   run2 | A   8.0545 ms | B   8.1019 ms |  0.99x
M=32768  N=128   K=256   run3 | A   8.0585 ms | B   8.1186 ms |  0.99x
M=32768  N=128   K=256   run4 | A   8.0551 ms | B   8.1090 ms |  0.99x
M=65536  N=128   K=256   run0 | A  15.3270 ms | B  15.1659 ms |  1.01x
M=65536  N=128   K=256   run1 | A  15.3254 ms | B  15.1703 ms |  1.01x
M=65536  N=128   K=256   run2 | A  15.3273 ms | B  15.1637 ms |  1.01x
M=65536  N=128   K=256   run3 | A  15.3286 ms | B  15.1786 ms |  1.01x
M=65536  N=128   K=256   run4 | A  15.3322 ms | B  15.1685 ms |  1.01x
M=16384  N=256   K=512   run0 | A  19.3994 ms | B  19.3736 ms |  1.00x
M=16384  N=256   K=512   run1 | A  19.3894 ms | B  19.3790 ms |  1.00x
M=16384  N=256   K=512   run2 | A  19.3941 ms | B  19.3822 ms |  1.00x
M=16384  N=256   K=512   run3 | A  19.3993 ms | B  19.3814 ms |  1.00x
M=16384  N=256   K=512   run4 | A  19.3956 ms | B  19.3812 ms |  1.00x
M=4096   N=4096  K=256   run0 | A  33.2455 ms | B  33.3632 ms |  1.00x
M=4096   N=4096  K=256   run1 | A  33.2321 ms | B  33.3790 ms |  1.00x
M=4096   N=4096  K=256   run2 | A  33.2223 ms | B  33.3626 ms |  1.00x
M=4096   N=4096  K=256   run3 | A  33.2336 ms | B  33.3613 ms |  1.00x
M=4096   N=4096  K=256   run4 | A  33.2518 ms | B  33.3365 ms |  1.00x
