rows,dims,layers,tensors,passes,quant,dtype,nodes,forks,plain_us,sequence_us,all_roots_us,groups_us,speedup_groups_vs_plain,speedup_groups_vs_sequence,streams,multi_us,speedup_multi_vs_sequence,multi_vs_groups,runs
512,"64,128,256",8,1,20,none,f16,8,0,23.2000,30.2625,290.1750,29.9750,0.7740,1.0096,1,0.0000,0.0000,0.0000,3
512,"64,128,256",8,2,20,none,f16,16,8,23.2000,27.1062,284.6938,268.4375,0.0864,0.1010,2,22.1562,1.2234,12.1157,3
512,"64,128,256",8,3,20,none,f16,24,16,21.9792,24.3750,289.9250,302.0000,0.0728,0.0807,3,25.3500,0.9615,11.9132,3
512,"64,128,256",8,6,20,none,f16,48,40,22.0417,24.1646,536.9854,397.7146,0.0554,0.0608,6,28.1042,0.8598,14.1514,3
512,"64,128,256",8,12,20,none,f16,96,88,23.3187,23.7500,1145.7062,890.0312,0.0262,0.0267,12,24.9833,0.9506,35.6250,3
4096,"128",8,1,10,none,f16,8,0,24.2375,30.7750,270.4500,31.0875,0.7797,0.9899,1,0.0000,0.0000,0.0000,3
4096,"128",8,3,10,none,f16,24,16,24.0458,27.1792,270.1292,282.7917,0.0850,0.0961,3,26.8208,1.0134,10.5437,3
4096,"128",8,6,10,none,f16,48,40,24.1375,26.2167,466.9146,380.2292,0.0635,0.0689,6,27.6437,0.9484,13.7546,3
16384,"256",8,1,10,none,f16,8,0,63.2875,70.2375,291.4125,70.3625,0.8994,0.9982,1,0.0000,0.0000,0.0000,3
16384,"256",8,3,10,none,f16,24,16,62.9792,66.2417,299.8833,304.6667,0.2067,0.2174,3,67.8417,0.9764,4.4908,3
