rows,dim,dtype,kernel,tpr,rpb,footprint_kib,oop_ms,oop_gbps,ip_ms,ip_gbps,ip_over_oop
8192,128,f16,reg,32,8,2048.0,0.030611,137.0216,0.030416,137.8990,1.0064
16384,128,f16,reg,32,8,4096.0,0.046356,180.9590,0.046539,180.2488,0.9961
32768,128,f16,reg,32,8,8192.0,0.067193,249.6876,0.069071,242.8977,0.9728
65536,128,f16,reg,32,8,16384.0,0.118447,283.2870,0.114505,293.0388,1.0344
131072,128,f16,reg,32,8,32768.0,0.209762,319.9283,0.213717,314.0075,0.9815
262144,128,f16,reg,32,8,65536.0,0.392664,341.8132,0.397959,337.2654,0.9867
8192,128,bf16,reg,32,8,2048.0,0.031413,133.5195,0.031158,134.6140,1.0082
16384,128,bf16,reg,32,8,4096.0,0.042577,197.0226,0.042832,195.8513,0.9941
32768,128,bf16,reg,32,8,8192.0,0.062765,267.3017,0.064674,259.4127,0.9705
65536,128,bf16,reg,32,8,16384.0,0.110129,304.6827,0.104273,321.7955,1.0562
131072,128,bf16,reg,32,8,32768.0,0.187947,357.0620,0.191255,350.8862,0.9827
262144,128,bf16,reg,32,8,65536.0,0.343862,390.3248,0.349147,384.4159,0.9849
8192,256,f16,reg,32,8,4096.0,0.043080,194.7238,0.042910,195.4941,1.0040
16384,256,f16,reg,32,8,8192.0,0.061772,271.5972,0.063554,263.9853,0.9720
32768,256,f16,reg,32,8,16384.0,0.105609,317.7223,0.098619,340.2438,1.0709
65536,256,f16,reg,32,8,32768.0,0.176316,380.6163,0.179605,373.6469,0.9817
131072,256,f16,reg,32,8,65536.0,0.317452,422.7966,0.321925,416.9219,0.9861
262144,256,f16,reg,32,8,131072.0,0.600734,446.8460,0.605315,443.4641,0.9924
8192,256,bf16,reg,32,8,4096.0,0.045456,184.5424,0.045274,185.2843,1.0040
16384,256,bf16,reg,32,8,8192.0,0.061767,271.6204,0.063594,263.8166,0.9713
32768,256,bf16,reg,32,8,16384.0,0.100785,332.9303,0.091800,365.5155,1.0979
65536,256,bf16,reg,32,8,32768.0,0.159164,421.6324,0.162343,413.3759,0.9804
131072,256,bf16,reg,32,8,65536.0,0.276882,484.7474,0.282446,475.1974,0.9803
262144,256,bf16,reg,32,8,131072.0,0.512308,523.9726,0.518383,517.8325,0.9883
8192,512,f16,reg,32,8,8192.0,0.072307,232.0273,0.074176,226.1804,0.9748
16384,512,f16,reg,32,8,16384.0,0.114296,293.5758,0.102971,325.8621,1.1100
32768,512,f16,reg,32,8,32768.0,0.173967,385.7564,0.176897,379.3670,0.9834
65536,512,f16,reg,32,8,65536.0,0.292314,459.1554,0.299742,447.7777,0.9752
131072,512,f16,reg,32,8,131072.0,0.534486,502.2311,0.541307,495.9028,0.9874
262144,512,f16,reg,32,8,262144.0,1.020876,525.8925,1.027561,522.4713,0.9935
8192,512,bf16,reg,32,8,8192.0,0.076329,219.8016,0.077685,215.9634,0.9825
16384,512,bf16,reg,32,8,16384.0,0.117031,286.7136,0.101945,329.1438,1.1480
32768,512,bf16,reg,32,8,32768.0,0.168715,397.7657,0.170657,393.2373,0.9886
65536,512,bf16,reg,32,8,65536.0,0.272371,492.7763,0.282047,475.8701,0.9657
131072,512,bf16,reg,32,8,131072.0,0.481081,557.9840,0.497024,540.0860,0.9679
262144,512,bf16,reg,32,8,262144.0,0.899579,596.8024,0.925640,580.0000,0.9718
8192,1024,f16,reg,32,8,16384.0,0.147504,227.4808,0.133901,250.5909,1.1016
16384,1024,f16,reg,32,8,32768.0,0.205289,326.8998,0.203267,330.1506,1.0099
32768,1024,f16,reg,32,8,65536.0,0.316845,423.6070,0.326360,411.2568,0.9708
65536,1024,f16,reg,32,8,131072.0,0.541618,495.6176,0.557566,481.4419,0.9714
131072,1024,f16,reg,32,8,262144.0,0.995670,539.2059,1.023744,524.4190,0.9726
262144,1024,f16,reg,32,8,524288.0,1.912646,561.3907,1.967456,545.7514,0.9721
8192,1024,bf16,reg,32,8,16384.0,0.176830,189.7554,0.151585,221.3566,1.1665
16384,1024,bf16,reg,32,8,32768.0,0.225552,297.5321,0.227223,295.3430,0.9926
32768,1024,bf16,reg,32,8,65536.0,0.341097,393.4880,0.351140,382.2345,0.9714
65536,1024,bf16,reg,32,8,131072.0,0.572702,468.7172,0.588305,456.2863,0.9735
131072,1024,bf16,reg,32,8,262144.0,1.035156,518.6379,1.063110,505.0004,0.9737
262144,1024,bf16,reg,32,8,524288.0,1.965299,546.3503,2.019103,531.7915,0.9734
