rows,dim,dtype,kernel,acc,tpr,rpb,grid,block,ms,gbps,peak_frac
1024,64,f16,reg,native,8,1,1024,8,0.0241849,10.8391,0.0211385
1024,64,f16,reg,native,8,4,256,32,0.0229148,11.44,0.0223102
1024,64,f16,reg,native,8,16,64,128,0.0230986,11.3489,0.0221326
1024,64,f16,reg,native,16,1,1024,16,0.0215551,12.1616,0.0237175
1024,64,f16,reg,native,16,4,256,64,0.0210788,12.4364,0.0242535
1024,64,f16,reg,native,16,16,64,256,0.02115,12.3945,0.0241718
1024,64,f16,reg,native,32,1,1024,32,0.0203702,12.869,0.0250971
1024,64,f16,reg,native,32,4,256,128,0.0201706,12.9963,0.0253454
1024,64,f16,reg,native,32,16,64,512,0.0199481,13.1413,0.0256282
1024,64,bf16,reg,native,8,1,1024,8,0.0269016,9.74455,0.0190038
1024,64,bf16,reg,native,8,4,256,32,0.025739,10.1847,0.0198622
1024,64,bf16,reg,native,8,16,64,128,0.0258037,10.1592,0.0198124
1024,64,bf16,reg,native,16,1,1024,16,0.0237732,11.0269,0.0215046
1024,64,bf16,reg,native,16,4,256,64,0.0229497,11.4225,0.0222762
1024,64,bf16,reg,native,16,16,64,256,0.0229984,11.3983,0.0222291
1024,64,bf16,reg,native,32,1,1024,32,0.0218032,12.0232,0.0234476
1024,64,bf16,reg,native,32,4,256,128,0.0214075,12.2455,0.0238811
1024,64,bf16,reg,native,32,16,64,512,0.021239,12.3426,0.0240705
4096,64,f16,reg,native,8,1,4096,8,0.0375635,27.9147,0.0544393
4096,64,f16,reg,native,8,4,1024,32,0.0245158,42.7715,0.083413
4096,64,f16,reg,native,8,16,256,128,0.0238222,44.0168,0.0858416
4096,64,f16,reg,native,16,1,4096,16,0.0319458,32.8236,0.0640126
4096,64,f16,reg,native,16,4,1024,64,0.0222271,47.1755,0.0920017
4096,64,f16,reg,native,16,16,256,256,0.0219586,47.7525,0.0931269
4096,64,f16,reg,native,32,1,4096,32,0.0283638,36.9688,0.0720965
4096,64,f16,reg,native,32,4,1024,128,0.0214762,48.8249,0.0952184
4096,64,f16,reg,native,32,16,256,512,0.0214639,48.8531,0.0952733
4096,64,bf16,reg,native,8,1,4096,8,0.0402172,26.0728,0.0508472
4096,64,bf16,reg,native,8,4,1024,32,0.027546,38.0664,0.0742371
4096,64,bf16,reg,native,8,16,256,128,0.0266353,39.3679,0.0767753
4096,64,bf16,reg,native,16,1,4096,16,0.0324802,32.2836,0.0629594
4096,64,bf16,reg,native,16,4,1024,64,0.0246083,42.6106,0.0830992
4096,64,bf16,reg,native,16,16,256,256,0.0239974,43.6955,0.0852149
