rows,dim,dtype,kernel,acc,tpr,rpb,grid,block,ms,gbps,peak_frac
2048,64,f16,smem,native,32,1,2048,32,0.0228541,22.9406,0.0447388
2048,64,f16,smem,native,32,4,2048,128,0.0238248,22.006,0.0429161
2048,64,f16,smem,native,32,16,2048,512,0.0364751,14.3739,0.0280319
2048,64,f16,smem,native,32,1,2048,32,0.0226112,23.1871,0.0452195
2048,64,f16,smem,native,32,4,2048,128,0.0237949,22.0336,0.04297
2048,64,f16,smem,native,32,16,2048,512,0.0367403,14.2701,0.0278296
2048,64,f16,smem,native,32,1,2048,32,0.0227452,23.0505,0.0449531
2048,64,f16,smem,native,32,4,2048,128,0.0236882,22.1328,0.0431635
2048,64,f16,smem,native,32,16,2048,512,0.0365327,14.3512,0.0279877
2048,64,bf16,smem,native,32,1,2048,32,0.0239889,21.8555,0.0426225
2048,64,bf16,smem,native,32,4,2048,128,0.0245055,21.3947,0.0417239
2048,64,bf16,smem,native,32,16,2048,512,0.0378455,13.8534,0.0270169
2048,64,bf16,smem,native,32,1,2048,32,0.02398,21.8635,0.0426383
2048,64,bf16,smem,native,32,4,2048,128,0.0244907,21.4076,0.0417492
2048,64,bf16,smem,native,32,16,2048,512,0.0378256,13.8607,0.0270311
2048,64,bf16,smem,native,32,1,2048,32,0.0238273,22.0036,0.0429115
2048,64,bf16,smem,native,32,4,2048,128,0.0243204,21.5576,0.0420416
2048,64,bf16,smem,native,32,16,2048,512,0.0378133,13.8652,0.0270399
8192,64,f16,smem,native,32,1,8192,32,0.0388899,53.9254,0.105165
8192,64,f16,smem,native,32,4,8192,128,0.044449,47.1811,0.0920125
8192,64,f16,smem,native,32,16,8192,512,0.0926434,22.6368,0.0441463
8192,64,f16,smem,native,32,1,8192,32,0.0390342,53.726,0.104776
8192,64,f16,smem,native,32,4,8192,128,0.0444246,47.207,0.0920631
8192,64,f16,smem,native,32,16,8192,512,0.0925395,22.6622,0.0441959
8192,64,f16,smem,native,32,1,8192,32,0.0388465,53.9856,0.105283
8192,64,f16,smem,native,32,4,8192,128,0.0443205,47.3178,0.0922792
8192,64,f16,smem,native,32,16,8192,512,0.0926369,22.6384,0.0441494
8192,64,bf16,smem,native,32,1,8192,32,0.0389334,53.8651,0.105048
8192,64,bf16,smem,native,32,4,8192,128,0.0433216,48.4089,0.0944071
8192,64,bf16,smem,native,32,16,8192,512,0.0940594,22.296,0.0434817
8192,64,bf16,smem,native,32,1,8192,32,0.0389693,53.8154,0.104951
8192,64,bf16,smem,native,32,4,8192,128,0.04346,48.2547,0.0941063
8192,64,bf16,smem,native,32,16,8192,512,0.0941136,22.2832,0.0434567
8192,64,bf16,smem,native,32,1,8192,32,0.0389498,53.8425,0.105004
8192,64,bf16,smem,native,32,4,8192,128,0.0432519,48.4869,0.0945592
8192,64,bf16,smem,native,32,16,8192,512,0.0941966,22.2636,0.0434184
32768,64,f16,smem,native,32,1,32768,32,0.10545,79.5503,0.155139
32768,64,f16,smem,native,32,4,32768,128,0.126499,66.3136,0.129325
32768,64,f16,smem,native,32,16,32768,512,0.316355,26.5164,0.0517123
32768,64,f16,smem,native,32,1,32768,32,0.105318,79.6501,0.155334
32768,64,f16,smem,native,32,4,32768,128,0.126239,66.45,0.129591
32768,64,f16,smem,native,32,16,32768,512,0.316417,26.5113,0.0517023
32768,64,f16,smem,native,32,1,32768,32,0.105303,79.6616,0.155356
32768,64,f16,smem,native,32,4,32768,128,0.12639,66.3706,0.129436
32768,64,f16,smem,native,32,16,32768,512,0.316304,26.5207,0.0517207
32768,64,bf16,smem,native,32,1,32768,32,0.0995863,84.2345,0.164274
32768,64,bf16,smem,native,32,4,32768,128,0.119554,70.1656,0.136837
32768,64,bf16,smem,native,32,16,32768,512,0.31768,26.4059,0.0514967
32768,64,bf16,smem,native,32,1,32768,32,0.0999316,83.9435,0.163707
32768,64,bf16,smem,native,32,4,32768,128,0.119516,70.1879,0.13688
32768,64,bf16,smem,native,32,16,32768,512,0.317725,26.4021,0.0514894
32768,64,bf16,smem,native,32,1,32768,32,0.0998602,84.0035,0.163824
32768,64,bf16,smem,native,32,4,32768,128,0.119724,70.0662,0.136643
32768,64,bf16,smem,native,32,16,32768,512,0.317807,26.3953,0.0514761
131072,64,f16,smem,native,32,1,131072,32,0.362652,92.5252,0.180443
131072,64,f16,smem,native,32,4,131072,128,0.447339,75.009,0.146282
131072,64,f16,smem,native,32,16,131072,512,1.20466,27.8539,0.0543206
131072,64,f16,smem,native,32,1,131072,32,0.362697,92.5136,0.18042
131072,64,f16,smem,native,32,4,131072,128,0.447539,74.9755,0.146217
131072,64,f16,smem,native,32,16,131072,512,1.20496,27.847,0.0543071
131072,64,f16,smem,native,32,1,131072,32,0.362623,92.5327,0.180457
131072,64,f16,smem,native,32,4,131072,128,0.447509,74.9804,0.146227
131072,64,f16,smem,native,32,16,131072,512,1.2048,27.8506,0.0543143
131072,64,bf16,smem,native,32,1,131072,32,0.337847,99.3185,0.193691
131072,64,bf16,smem,native,32,4,131072,128,0.419252,80.0341,0.156082
131072,64,bf16,smem,native,32,16,131072,512,1.20666,27.8078,0.0542307
131072,64,bf16,smem,native,32,1,131072,32,0.337888,99.3063,0.193667
131072,64,bf16,smem,native,32,4,131072,128,0.419335,80.0183,0.156052
131072,64,bf16,smem,native,32,16,131072,512,1.20668,27.8073,0.0542299
131072,64,bf16,smem,native,32,1,131072,32,0.337879,99.3091,0.193673
131072,64,bf16,smem,native,32,4,131072,128,0.419365,80.0124,0.15604
131072,64,bf16,smem,native,32,16,131072,512,1.20671,27.8064,0.0542281
2048,128,f16,smem,native,32,1,2048,32,0.0254494,41.2024,0.0803528
2048,128,f16,smem,native,32,4,2048,128,0.02647,39.6137,0.0772547
2048,128,f16,smem,native,32,16,2048,512,0.040681,25.7756,0.0502675
2048,128,f16,smem,native,32,1,2048,32,0.025496,41.1271,0.080206
2048,128,f16,smem,native,32,4,2048,128,0.026325,39.832,0.0776803
2048,128,f16,smem,native,32,16,2048,512,0.040517,25.8799,0.050471
2048,128,f16,smem,native,32,1,2048,32,0.0251939,41.6202,0.0811678
2048,128,f16,smem,native,32,4,2048,128,0.0263718,39.7612,0.0775423
2048,128,f16,smem,native,32,16,2048,512,0.0405245,25.8751,0.0504616
2048,128,bf16,smem,native,32,1,2048,32,0.0281024,37.3127,0.0727672
2048,128,bf16,smem,native,32,4,2048,128,0.0289541,36.2151,0.0706267
2048,128,bf16,smem,native,32,16,2048,512,0.0429079,24.4378,0.0476586
2048,128,bf16,smem,native,32,1,2048,32,0.0279923,37.4594,0.0730533
2048,128,bf16,smem,native,32,4,2048,128,0.028928,36.2477,0.0706903
2048,128,bf16,smem,native,32,16,2048,512,0.0430907,24.3341,0.0474564
2048,128,bf16,smem,native,32,1,2048,32,0.0280472,37.3861,0.0729103
2048,128,bf16,smem,native,32,4,2048,128,0.0289219,36.2554,0.0707052
2048,128,bf16,smem,native,32,16,2048,512,0.0430126,24.3783,0.0475426
8192,128,f16,smem,native,32,1,8192,32,0.0489255,85.7283,0.167187
8192,128,f16,smem,native,32,4,8192,128,0.0540978,77.5319,0.151203
8192,128,f16,smem,native,32,16,8192,512,0.101601,41.2819,0.080508
8192,128,f16,smem,native,32,1,8192,32,0.0490182,85.5663,0.166871
8192,128,f16,smem,native,32,4,8192,128,0.0540657,77.578,0.151293
8192,128,f16,smem,native,32,16,8192,512,0.101768,41.2145,0.0803765
