Device        : MTT S4000 (sm_22)
SMs           : 56
Max thr/SM    : 6144
Shared/SM     : 73728 bytes
L2            : 24.0 MiB
SM clock      : 1.60 GHz
Mem clock/bus : 8.01 GHz / 256 bit
D2D memcpy ceiling      :    691.1 GB/s (1.554 ms for 512 MiB copy)
Theoretical DRAM bandwidth:    512.8 GB/s
unknown mode 'roof'
    rows    dim dtype kern  acc     tpr  rpb     grid  block        ms      GB/s    %peak
   65536     64 f16   reg   native     8    1    65536      8    0.3190      52.6    10.3%
   65536     64 f16   reg   native     8    2    32768     16    0.1702      98.6    19.2%
   65536     64 f16   reg   native     8    4    16384     32    0.0962     174.4    34.0%
   65536     64 f16   reg   native     8    8     8192     64    0.0649     258.7    50.4%
   65536     64 f16   reg   native     8   16     4096    128    0.0535     313.7    61.2%
   65536     64 f16   reg   native     8   32     2048    256    0.0552     304.0    59.3%
   65536     64 f16   reg   native    16    1    65536     16    0.2399      69.9    13.6%
   65536     64 f16   reg   native    16    2    32768     32    0.1296     129.4    25.2%
   65536     64 f16   reg   native    16    4    16384     64    0.0798     210.1    41.0%
   65536     64 f16   reg   native    16    8     8192    128    0.0623     269.3    52.5%
   65536     64 f16   reg   native    16   16     4096    256    0.0635     264.4    51.6%
   65536     64 f16   reg   native    16   32     2048    512    0.0641     261.7    51.0%
   65536     64 f16   reg   native    32    1    65536     32    0.1931      86.9    16.9%
   65536     64 f16   reg   native    32    2    32768     64    0.1140     147.2    28.7%
   65536     64 f16   reg   native    32    4    16384    128    0.0860     195.2    38.1%
   65536     64 f16   reg   native    32    8     8192    256    0.0863     194.4    37.9%
   65536     64 f16   reg   native    32   16     4096    512    0.0866     193.8    37.8%
   65536     64 f16   reg   native    32   32     2048   1024    0.0873     192.2    37.5%
   65536    128 f16   reg   native     8    1    65536      8    0.5353      62.7    12.2%
   65536    128 f16   reg   native     8    2    32768     16    0.2860     117.3    22.9%
   65536    128 f16   reg   native     8    4    16384     32    0.1626     206.4    40.2%
   65536    128 f16   reg   native     8    8     8192     64    0.1088     308.4    60.1%
   65536    128 f16   reg   native     8   16     4096    128    0.0994     337.4    65.8%
   65536    128 f16   reg   native     8   32     2048    256    0.1014     331.0    64.6%
   65536    128 f16   reg   native    16    1    65536     16    0.3664      91.6    17.9%
   65536    128 f16   reg   native    16    2    32768     32    0.1982     169.3    33.0%
   65536    128 f16   reg   native    16    4    16384     64    0.1232     272.3    53.1%
   65536    128 f16   reg   native    16    8     8192    128    0.0972     345.2    67.3%
   65536    128 f16   reg   native    16   16     4096    256    0.0983     341.4    66.6%
   65536    128 f16   reg   native    16   32     2048    512    0.0994     337.5    65.8%
   65536    128 f16   reg   native    32    1    65536     32    0.2671     125.6    24.5%
   65536    128 f16   reg   native    32    2    32768     64    0.1588     211.4    41.2%
   65536    128 f16   reg   native    32    4    16384    128    0.1186     283.0    55.2%
   65536    128 f16   reg   native    32    8     8192    256    0.1188     282.4    55.1%
   65536    128 f16   reg   native    32   16     4096    512    0.1193     281.2    54.8%
   65536    128 f16   reg   native    32   32     2048   1024    0.1204     278.8    54.4%
   65536    256 f16   reg   native     8    1    65536      8    1.1409      58.8    11.5%
   65536    256 f16   reg   native     8    2    32768     16    0.5945     112.9    22.0%
   65536    256 f16   reg   native     8    4    16384     32    0.3226     208.0    40.6%
   65536    256 f16   reg   native     8    8     8192     64    0.1986     338.0    65.9%
   65536    256 f16   reg   native     8   16     4096    128    0.2146     312.7    61.0%
   65536    256 f16   reg   native     8   32     2048    256    0.2148     312.5    60.9%
   65536    256 f16   reg   native    16    1    65536     16    0.6176     108.7    21.2%
   65536    256 f16   reg   native    16    2    32768     32    0.3283     204.4    39.9%
   65536    256 f16   reg   native    16    4    16384     64    0.1990     337.3    65.8%
   65536    256 f16   reg   native    16    8     8192    128    0.1582     424.2    82.7%
   65536    256 f16   reg   native    16   16     4096    256    0.1632     411.3    80.2%
   65536    256 f16   reg   native    16   32     2048    512    0.1667     402.5    78.5%
   65536    256 f16   reg   native    32    1    65536     32    0.4095     163.9    32.0%
   65536    256 f16   reg   native    32    2    32768     64    0.2390     280.8    54.8%
   65536    256 f16   reg   native    32    4    16384    128    0.1765     380.3    74.2%
   65536    256 f16   reg   native    32    8     8192    256    0.1784     376.2    73.4%
   65536    256 f16   reg   native    32   16     4096    512    0.1800     372.8    72.7%
   65536    256 f16   reg   native    32   32     2048   1024    0.1816     369.5    72.1%
   65536    512 f16   reg   native     8    1    65536      8    0.7033     190.8    37.2%
   65536    512 f16   reg   native     8    2    32768     16    0.4033     332.8    64.9%
   65536    512 f16   reg   native     8    4    16384     32    0.2931     457.9    89.3%
   65536    512 f16   reg   native     8    8     8192     64    0.2975     451.2    88.0%
   65536    512 f16   reg   native     8   16     4096    128    0.3028     443.3    86.5%
   65536    512 f16   reg   native     8   32     2048    256    0.3062     438.3    85.5%
   65536    512 f16   reg   native    16    1    65536     16    1.3399     100.2    19.5%
   65536    512 f16   reg   native    16    2    32768     32    0.6940     193.4    37.7%
   65536    512 f16   reg   native    16    4    16384     64    0.3913     343.0    66.9%
   65536    512 f16   reg   native    16    8     8192    128    0.3287     408.3    79.6%
   65536    512 f16   reg   native    16   16     4096    256    0.3384     396.6    77.4%
   65536    512 f16   reg   native    16   32     2048    512    0.3384     396.6    77.3%
   65536    512 f16   reg   native    32    1    65536     32    0.7032     190.9    37.2%
   65536    512 f16   reg   native    32    2    32768     64    0.4032     332.9    64.9%
   65536    512 f16   reg   native    32    4    16384    128    0.2927     458.5    89.4%
   65536    512 f16   reg   native    32    8     8192    256    0.2972     451.5    88.1%
   65536    512 f16   reg   native    32   16     4096    512    0.3026     443.6    86.5%
   65536    512 f16   reg   native    32   32     2048   1024    0.3054     439.5    85.7%
   65536   1024 f16   reg   native     8    1    65536      8    1.4723     182.3    35.6%
   65536   1024 f16   reg   native     8    2    32768     16    0.8033     334.2    65.2%
   65536   1024 f16   reg   native     8    4    16384     32    0.5423     495.0    96.5%
   65536   1024 f16   reg   native     8    8     8192     64    0.5503     487.8    95.1%
   65536   1024 f16   reg   native     8   16     4096    128    0.5589     480.3    93.7%
   65536   1024 f16   reg   native     8   32     2048    256    0.5716     469.6    91.6%
   65536   1024 f16   reg   native    16    1    65536     16    1.4728     182.3    35.5%
   65536   1024 f16   reg   native    16    2    32768     32    0.8031     334.3    65.2%
   65536   1024 f16   reg   native    16    4    16384     64    0.5421     495.1    96.6%
   65536   1024 f16   reg   native    16    8     8192    128    0.5502     487.9    95.1%
   65536   1024 f16   reg   native    16   16     4096    256    0.5594     479.9    93.6%
   65536   1024 f16   reg   native    16   32     2048    512    0.5716     469.6    91.6%
   65536   1024 f16   reg   native    32    1    65536     32    1.4728     182.3    35.5%
