rows,dim,dtype,kernel,acc,tpr,rpb,grid,block,ms,gbps,peak_frac
65536,64,f16,reg,native,8,1,65536,8,0.318971,52.598,0.102577
65536,64,f16,reg,native,8,2,32768,16,0.170172,98.5898,0.19227
65536,64,f16,reg,native,8,4,16384,32,0.0961772,174.441,0.340194
65536,64,f16,reg,native,8,8,8192,64,0.0648611,258.664,0.504446
65536,64,f16,reg,native,8,16,4096,128,0.0534788,313.717,0.611811
65536,64,f16,reg,native,8,32,2048,256,0.0551914,303.982,0.592826
65536,64,f16,reg,native,16,1,65536,16,0.239867,69.9438,0.136404
65536,64,f16,reg,native,16,2,32768,32,0.129621,129.433,0.252419
65536,64,f16,reg,native,16,4,16384,64,0.0798414,210.132,0.409799
65536,64,f16,reg,native,16,8,8192,128,0.062294,269.323,0.525234
65536,64,f16,reg,native,16,16,4096,256,0.0634613,264.369,0.515573
65536,64,f16,reg,native,16,32,2048,512,0.0641115,261.688,0.510344
65536,64,f16,reg,native,32,1,65536,32,0.1931,86.8836,0.16944
65536,64,f16,reg,native,32,2,32768,64,0.113985,147.188,0.287047
65536,64,f16,reg,native,32,4,16384,128,0.0859619,195.17,0.380621
65536,64,f16,reg,native,32,8,8192,256,0.0863027,194.4,0.379118
65536,64,f16,reg,native,32,16,4096,512,0.0865737,193.791,0.377931
65536,64,f16,reg,native,32,32,2048,1024,0.0872983,192.183,0.374795
65536,128,f16,reg,native,8,1,65536,8,0.535293,62.6843,0.122247
65536,128,f16,reg,native,8,2,32768,16,0.286024,117.313,0.228785
65536,128,f16,reg,native,8,4,16384,32,0.162599,206.363,0.402449
65536,128,f16,reg,native,8,8,8192,64,0.108807,308.384,0.60141
65536,128,f16,reg,native,8,16,4096,128,0.0994396,337.435,0.658066
65536,128,f16,reg,native,8,32,2048,256,0.101365,331.026,0.645567
65536,128,f16,reg,native,16,1,65536,16,0.366371,91.5858,0.178611
65536,128,f16,reg,native,16,2,32768,32,0.198164,169.327,0.330221
65536,128,f16,reg,native,16,4,16384,64,0.123239,272.272,0.530985
65536,128,f16,reg,native,16,8,8192,128,0.0972089,345.179,0.673167
65536,128,f16,reg,native,16,16,4096,256,0.0982721,341.444,0.665884
65536,128,f16,reg,native,16,32,2048,512,0.0994202,337.501,0.658195
65536,128,f16,reg,native,32,1,65536,32,0.267139,125.607,0.244958
65536,128,f16,reg,native,32,2,32768,64,0.158754,211.361,0.412196
65536,128,f16,reg,native,32,4,16384,128,0.118587,282.952,0.551814
65536,128,f16,reg,native,32,8,8192,256,0.118827,282.382,0.5507
65536,128,f16,reg,native,32,16,4096,512,0.119312,281.233,0.548461
65536,128,f16,reg,native,32,32,2048,1024,0.120369,278.764,0.543646
65536,256,f16,reg,native,8,1,65536,8,1.14089,58.8217,0.114714
65536,256,f16,reg,native,8,2,32768,16,0.594494,112.884,0.220146
65536,256,f16,reg,native,8,4,16384,32,0.322571,208.043,0.405726
65536,256,f16,reg,native,8,8,8192,64,0.198566,337.968,0.659105
65536,256,f16,reg,native,8,16,4096,128,0.214611,312.7,0.609828
65536,256,f16,reg,native,8,32,2048,256,0.214781,312.453,0.609346
65536,256,f16,reg,native,16,1,65536,16,0.61764,108.654,0.211896
65536,256,f16,reg,native,16,2,32768,32,0.328271,204.432,0.398682
65536,256,f16,reg,native,16,4,16384,64,0.198957,337.304,0.65781
65536,256,f16,reg,native,16,8,8192,128,0.158199,424.206,0.827286
65536,256,f16,reg,native,16,16,4096,256,0.163152,411.328,0.802171
65536,256,f16,reg,native,16,32,2048,512,0.166714,402.539,0.785031
65536,256,f16,reg,native,32,1,65536,32,0.409534,163.867,0.319572
65536,256,f16,reg,native,32,2,32768,64,0.23898,280.814,0.547643
65536,256,f16,reg,native,32,4,16384,128,0.176476,380.272,0.741607
65536,256,f16,reg,native,32,8,8192,256,0.178408,376.154,0.733576
65536,256,f16,reg,native,32,16,4096,512,0.180036,372.753,0.726943
65536,256,f16,reg,native,32,32,2048,1024,0.181631,369.48,0.720559
65536,512,f16,reg,native,8,1,65536,8,0.703321,190.834,0.372165
65536,512,f16,reg,native,8,2,32768,16,0.403325,332.778,0.648984
65536,512,f16,reg,native,8,4,16384,32,0.293132,457.875,0.892948
65536,512,f16,reg,native,8,8,8192,64,0.297487,451.171,0.879874
65536,512,f16,reg,native,8,16,4096,128,0.302767,443.304,0.864531
65536,512,f16,reg,native,8,32,2048,256,0.306221,438.304,0.85478
65536,512,f16,reg,native,16,1,65536,16,1.33992,100.168,0.195348
65536,512,f16,reg,native,16,2,32768,32,0.694011,193.394,0.377157
65536,512,f16,reg,native,16,4,16384,64,0.391319,342.988,0.668896
65536,512,f16,reg,native,16,8,8192,128,0.328742,408.277,0.796221
65536,512,f16,reg,native,16,16,4096,256,0.338382,396.646,0.773539
65536,512,f16,reg,native,16,32,2048,512,0.338433,396.586,0.773422
65536,512,f16,reg,native,32,1,65536,32,0.703154,190.879,0.372253
65536,512,f16,reg,native,32,2,32768,64,0.403164,332.911,0.649243
65536,512,f16,reg,native,32,4,16384,128,0.292738,458.491,0.894149
65536,512,f16,reg,native,32,8,8192,256,0.297242,451.544,0.880601
65536,512,f16,reg,native,32,16,4096,512,0.302554,443.616,0.86514
65536,512,f16,reg,native,32,32,2048,1024,0.305418,439.456,0.857026
65536,1024,f16,reg,native,8,1,65536,8,1.47234,182.32,0.355559
65536,1024,f16,reg,native,8,2,32768,16,0.803291,334.169,0.651697
65536,1024,f16,reg,native,8,4,16384,32,0.542303,494.992,0.965333
65536,1024,f16,reg,native,8,8,8192,64,0.550281,487.815,0.951336
65536,1024,f16,reg,native,8,16,4096,128,0.558916,480.279,0.936639
65536,1024,f16,reg,native,8,32,2048,256,0.571609,469.614,0.915841
65536,1024,f16,reg,native,16,1,65536,16,1.47278,182.265,0.355452
65536,1024,f16,reg,native,16,2,32768,32,0.803086,334.255,0.651864
65536,1024,f16,reg,native,16,4,16384,64,0.542137,495.143,0.965628
65536,1024,f16,reg,native,16,8,8192,128,0.550193,487.894,0.95149
65536,1024,f16,reg,native,16,16,4096,256,0.559393,479.87,0.935842
65536,1024,f16,reg,native,16,32,2048,512,0.571646,469.583,0.915781
65536,1024,f16,reg,native,32,1,65536,32,1.47283,182.258,0.35544
65536,1024,f16,reg,native,32,2,32768,64,0.803416,334.118,0.651596
65536,1024,f16,reg,native,32,4,16384,128,0.542387,494.915,0.965183
65536,1024,f16,reg,native,32,8,8192,256,0.550636,487.501,0.950723
65536,1024,f16,reg,native,32,16,4096,512,0.559203,480.032,0.936158
65536,1024,f16,reg,native,32,32,2048,1024,0.571266,469.896,0.91639
