rows,dim,dtype,kernel,acc,tpr,rpb,grid,block,ms,gbps,peak_frac
65536,64,f16,reg,native,8,1,65536,8,0.0700038,239.661,0.53492
65536,64,f16,reg,native,8,2,32768,16,0.0369734,453.764,1.01279
65536,64,f16,reg,native,8,4,16384,32,0.0205318,817.132,1.82382
65536,64,f16,reg,native,8,8,8192,64,0.0105165,1595.33,3.56074
65536,64,f16,reg,native,8,16,4096,128,0.0105171,1595.23,3.56052
65536,64,f16,reg,native,8,32,2048,256,0.0106963,1568.5,3.50087
65536,64,f16,reg,native,16,1,65536,16,0.0737626,227.449,0.507662
65536,64,f16,reg,native,16,2,32768,32,0.0370912,452.323,1.00958
65536,64,f16,reg,native,16,4,16384,64,0.0167866,999.443,2.23074
65536,64,f16,reg,native,16,8,8192,128,0.0167194,1003.46,2.23971
65536,64,f16,reg,native,16,16,4096,256,0.0167802,999.825,2.23159
65536,64,f16,reg,native,16,32,2048,512,0.0192544,871.345,1.94483
65536,64,f16,reg,native,32,1,65536,32,0.0718221,233.594,0.521378
65536,64,f16,reg,native,32,2,32768,64,0.0287974,582.594,1.30034
65536,64,f16,reg,native,32,4,16384,128,0.0287955,582.633,1.30043
65536,64,f16,reg,native,32,8,8192,256,0.0288045,582.452,1.30002
65536,64,f16,reg,native,32,16,4096,512,0.0563232,297.874,0.66485
65536,64,f16,reg,native,32,32,2048,1024,0.047136,355.932,0.794435
65536,128,f16,reg,native,8,1,65536,8,0.0696992,481.418,1.07452
65536,128,f16,reg,native,8,2,32768,16,0.0329331,1018.87,2.27409
65536,128,f16,reg,native,8,4,16384,32,0.0205779,1630.6,3.63948
65536,128,f16,reg,native,8,8,8192,64,0.0210598,1593.29,3.5562
65536,128,f16,reg,native,8,16,4096,128,0.021145,1586.88,3.54188
65536,128,f16,reg,native,8,32,2048,256,0.0211974,1582.95,3.53311
65536,128,f16,reg,native,16,1,65536,16,0.0737466,454.997,1.01554
65536,128,f16,reg,native,16,2,32768,32,0.0372109,901.737,2.01266
65536,128,f16,reg,native,16,4,16384,64,0.0204378,1641.79,3.66444
65536,128,f16,reg,native,16,8,8192,128,0.0202202,1659.45,3.70387
65536,128,f16,reg,native,16,16,4096,256,0.0207597,1616.33,3.60762
65536,128,f16,reg,native,16,32,2048,512,0.0311802,1076.15,2.40194
65536,128,f16,reg,native,32,1,65536,32,0.0717504,467.655,1.0438
65536,128,f16,reg,native,32,2,32768,64,0.0291891,1149.55,2.56578
65536,128,f16,reg,native,32,4,16384,128,0.0287725,1166.2,2.60294
65536,128,f16,reg,native,32,8,8192,256,0.0288762,1162.01,2.59359
65536,128,f16,reg,native,32,16,4096,512,0.0311251,1078.05,2.40619
65536,128,f16,reg,native,32,32,2048,1024,0.0474758,706.769,1.5775
65536,256,f16,reg,native,8,1,65536,8,0.17284,388.271,0.866614
65536,256,f16,reg,native,8,2,32768,16,0.175432,382.534,0.85381
65536,256,f16,reg,native,8,4,16384,32,0.174395,384.81,0.858889
65536,256,f16,reg,native,8,8,8192,64,0.174573,384.416,0.858011
65536,256,f16,reg,native,8,16,4096,128,0.174369,384.866,0.859015
65536,256,f16,reg,native,8,32,2048,256,0.174183,385.278,0.859934
65536,256,f16,reg,native,16,1,65536,16,0.176091,381.104,0.850617
65536,256,f16,reg,native,16,2,32768,32,0.171862,390.48,0.871545
65536,256,f16,reg,native,16,4,16384,64,0.1736,386.572,0.862822
65536,256,f16,reg,native,16,8,8192,128,0.173594,386.586,0.862854
65536,256,f16,reg,native,16,16,4096,256,0.17261,388.789,0.867771
65536,256,f16,reg,native,16,32,2048,512,0.176059,381.173,0.850771
