    rows    dim dtype kern  acc     tpr  rpb     grid  block        ms      GB/s    %peak
   65536     64 f16   reg   native     8    1    65536      8    0.0700     239.7    53.5%
   65536     64 f16   reg   native     8    2    32768     16    0.0370     453.8   101.3%
   65536     64 f16   reg   native     8    4    16384     32    0.0205     817.1   182.4%
   65536     64 f16   reg   native     8    8     8192     64    0.0105    1595.3   356.1%
   65536     64 f16   reg   native     8   16     4096    128    0.0105    1595.2   356.1%
   65536     64 f16   reg   native     8   32     2048    256    0.0107    1568.5   350.1%
   65536     64 f16   reg   native    16    1    65536     16    0.0738     227.4    50.8%
   65536     64 f16   reg   native    16    2    32768     32    0.0371     452.3   101.0%
   65536     64 f16   reg   native    16    4    16384     64    0.0168     999.4   223.1%
   65536     64 f16   reg   native    16    8     8192    128    0.0167    1003.5   224.0%
   65536     64 f16   reg   native    16   16     4096    256    0.0168     999.8   223.2%
   65536     64 f16   reg   native    16   32     2048    512    0.0193     871.3   194.5%
   65536     64 f16   reg   native    32    1    65536     32    0.0718     233.6    52.1%
   65536     64 f16   reg   native    32    2    32768     64    0.0288     582.6   130.0%
   65536     64 f16   reg   native    32    4    16384    128    0.0288     582.6   130.0%
   65536     64 f16   reg   native    32    8     8192    256    0.0288     582.5   130.0%
   65536     64 f16   reg   native    32   16     4096    512    0.0563     297.9    66.5%
   65536     64 f16   reg   native    32   32     2048   1024    0.0471     355.9    79.4%
   65536    128 f16   reg   native     8    1    65536      8    0.0697     481.4   107.5%
   65536    128 f16   reg   native     8    2    32768     16    0.0329    1018.9   227.4%
   65536    128 f16   reg   native     8    4    16384     32    0.0206    1630.6   363.9%
   65536    128 f16   reg   native     8    8     8192     64    0.0211    1593.3   355.6%
   65536    128 f16   reg   native     8   16     4096    128    0.0211    1586.9   354.2%
   65536    128 f16   reg   native     8   32     2048    256    0.0212    1582.9   353.3%
   65536    128 f16   reg   native    16    1    65536     16    0.0737     455.0   101.6%
   65536    128 f16   reg   native    16    2    32768     32    0.0372     901.7   201.3%
   65536    128 f16   reg   native    16    4    16384     64    0.0204    1641.8   366.4%
   65536    128 f16   reg   native    16    8     8192    128    0.0202    1659.5   370.4%
   65536    128 f16   reg   native    16   16     4096    256    0.0208    1616.3   360.8%
   65536    128 f16   reg   native    16   32     2048    512    0.0312    1076.1   240.2%
   65536    128 f16   reg   native    32    1    65536     32    0.0718     467.7   104.4%
   65536    128 f16   reg   native    32    2    32768     64    0.0292    1149.6   256.6%
   65536    128 f16   reg   native    32    4    16384    128    0.0288    1166.2   260.3%
   65536    128 f16   reg   native    32    8     8192    256    0.0289    1162.0   259.4%
   65536    128 f16   reg   native    32   16     4096    512    0.0311    1078.0   240.6%
   65536    128 f16   reg   native    32   32     2048   1024    0.0475     706.8   157.7%
   65536    256 f16   reg   native     8    1    65536      8    0.1728     388.3    86.7%
   65536    256 f16   reg   native     8    2    32768     16    0.1754     382.5    85.4%
   65536    256 f16   reg   native     8    4    16384     32    0.1744     384.8    85.9%
   65536    256 f16   reg   native     8    8     8192     64    0.1746     384.4    85.8%
   65536    256 f16   reg   native     8   16     4096    128    0.1744     384.9    85.9%
   65536    256 f16   reg   native     8   32     2048    256    0.1742     385.3    86.0%
   65536    256 f16   reg   native    16    1    65536     16    0.1761     381.1    85.1%
   65536    256 f16   reg   native    16    2    32768     32    0.1719     390.5    87.2%
   65536    256 f16   reg   native    16    4    16384     64    0.1736     386.6    86.3%
   65536    256 f16   reg   native    16    8     8192    128    0.1736     386.6    86.3%
   65536    256 f16   reg   native    16   16     4096    256    0.1726     388.8    86.8%
   65536    256 f16   reg   native    16   32     2048    512    0.1761     381.2    85.1%
   65536    256 f16   reg   native    32    1    65536     32    0.1719     390.4    87.1%
   65536    256 f16   reg   native    32    2    32768     64    0.1719     390.4    87.1%
   65536    256 f16   reg   native    32    4    16384    128    0.1721     389.9    87.0%
   65536    256 f16   reg   native    32    8     8192    256    0.1753     382.8    85.4%
   65536    256 f16   reg   native    32   16     4096    512    0.1720     390.2    87.1%
   65536    256 f16   reg   native    32   32     2048   1024    0.1711     392.1    87.5%
   65536    512 f16   reg   native     8    1    65536      8    0.3490     384.5    85.8%
   65536    512 f16   reg   native     8    2    32768     16    0.3515     381.9    85.2%
   65536    512 f16   reg   native     8    4    16384     32    0.3520     381.3    85.1%
   65536    512 f16   reg   native     8    8     8192     64    0.3512     382.2    85.3%
   65536    512 f16   reg   native     8   16     4096    128    0.3510     382.4    85.3%
   65536    512 f16   reg   native     8   32     2048    256    0.3494     384.2    85.7%
   65536    512 f16   reg   native    16    1    65536     16    0.3497     383.8    85.7%
   65536    512 f16   reg   native    16    2    32768     32    0.3523     380.9    85.0%
   65536    512 f16   reg   native    16    4    16384     64    0.3524     380.9    85.0%
   65536    512 f16   reg   native    16    8     8192    128    0.3547     378.4    84.5%
   65536    512 f16   reg   native    16   16     4096    256    0.3550     378.1    84.4%
   65536    512 f16   reg   native    16   32     2048    512    0.3529     380.3    84.9%
   65536    512 f16   reg   native    32    1    65536     32    0.3489     384.7    85.9%
   65536    512 f16   reg   native    32    2    32768     64    0.3524     380.9    85.0%
